idf.kw,prototype.m2
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,511.15
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,511.15
FullServiceRestaurant-DOE Ref Pre-1980-ASHRAE 169-2013-3B,511.15
HeavyManufacturing-90_1-2004-ASHRAE 169-2013-3B,4835.13
HeavyManufacturing-90_1-2013-ASHRAE 169-2013-3B,4835.13
HeavyManufacturing-DOE Ref Pre-1980-ASHRAE 169-2013-3B,4835.13
Hospital-90_1-2004-ASHRAE 169-2013-3B,22436.08
Hospital-90_1-2013-ASHRAE 169-2013-3B,22436.08
Hospital-DOE Ref Pre-1980-ASHRAE 169-2013-3B,22436.08
LargeHotel-90_1-2004-ASHRAE 169-2013-3B,11345.29
LargeHotel-90_1-2013-ASHRAE 169-2013-3B,11345.29
LargeHotel-DOE Ref Pre-1980-ASHRAE 169-2013-3B,11345.29
LargeOffice-90_1-2004-ASHRAE 169-2013-3B,46320.38
LargeOffice-90_1-2013-ASHRAE 169-2013-3B,46320.38
LargeOffice-DOE Ref Pre-1980-ASHRAE 169-2013-3B,46320.38
LightManufacturing-90_1-2004-ASHRAE 169-2013-3B,4835.13
LightManufacturing-90_1-2013-ASHRAE 169-2013-3B,4835.13
LightManufacturing-DOE Ref Pre-1980-ASHRAE 169-2013-3B,4835.13
MediumOffice-90_1-2004-ASHRAE 169-2013-3B,4982.19
MediumOffice-90_1-2013-ASHRAE 169-2013-3B,4982.19
MediumOffice-DOE Ref Pre-1980-ASHRAE 169-2013-3B,4982.19
MidriseApartment-90_1-2004-ASHRAE 169-2013-3B,3134.59
MidriseApartment-90_1-2013-ASHRAE 169-2013-3B,3134.59
MidriseApartment-DOE Ref Pre-1980-ASHRAE 169-2013-3B,3134.59
MultiFamily-2004,646.6
MultiFamily-2013,646.6
MultiFamily-pre-1980,646.6
NursingHome_baseline-LA,5718.6
PrimarySchool-90_1-2004-ASHRAE 169-2013-3B,6871.0
PrimarySchool-90_1-2013-ASHRAE 169-2013-3B,6871.0
PrimarySchool-DOE Ref Pre-1980-ASHRAE 169-2013-3B,6871.0
Religious-post-1980-3B,1170.58
Religious-pre-1980-3B,1170.58
RetailStandalone-90_1-2004-ASHRAE 169-2013-3B,2293.99
RetailStandalone-90_1-2013-ASHRAE 169-2013-3B,2293.99
RetailStandalone-DOE Ref Pre-1980-ASHRAE 169-2013-3B,2293.99
SecondarySchool-90_1-2004-ASHRAE 169-2013-3B,19592.0
SecondarySchool-90_1-2013-ASHRAE 169-2013-3B,19592.0
SecondarySchool-DOE Ref Pre-1980-ASHRAE 169-2013-3B,19592.0
SingleFamily-2004,235.93
SingleFamily-2013,235.93
SingleFamily-pre-1980,235.93
SmallHotel-90_1-2004-ASHRAE 169-2013-3B,4013.58
SmallHotel-90_1-2013-ASHRAE 169-2013-3B,4013.58
SmallHotel-DOE Ref Pre-1980-ASHRAE 169-2013-3B,4013.58
SmallOffice-90_1-2004-ASHRAE 169-2013-3B,511.16
SmallOffice-90_1-2013-ASHRAE 169-2013-3B,511.16
SmallOffice-DOE Ref Pre-1980-ASHRAE 169-2013-3B,511.16
SuperMarket-90_1-2004-ASHRAE 169-2013-3B,4180.84
SuperMarket-90_1-2013-ASHRAE 169-2013-3B,4180.84
SuperMarket-DOE Ref Pre-1980-ASHRAE 169-2013-3B,4180.84
Warehouse-90_1-2004-ASHRAE 169-2013-3B,4835.13
Warehouse-90_1-2013-ASHRAE 169-2013-3B,4835.13
Warehouse-DOE Ref Pre-1980-ASHRAE 169-2013-3B,4835.13
College-90_1-2004-ASHRAE 169-2013-3B,6415.51
College-90_1-2013-ASHRAE 169-2013-3B,6415.51
College-DOE Ref Pre-1980-ASHRAE 169-2013-3B,6415.51
