data_index,data_index,data_index,data_index,data_index
0,1011,10,1,1013
100,1012,1001,1000,103
1003,1020,1006,1002,104
1005,1026,1007,1004,105
102,1027,1008,1009,1051
1024,1042,101,1010,1056
1032,1043,1015,1014,1057
1039,1050,1017,1016,106
1053,1055,1018,1029,1073
1054,1058,1019,1030,1088
1065,1079,1021,1031,109
1072,1085,1022,1034,1101
108,1098,1023,1040,111
1080,110,1025,1045,1117
1081,1102,1028,1047,1126
1082,1104,1033,1052,113
1084,1109,1035,1060,1131
1097,1113,1036,1061,1134
1105,1116,1037,1062,114
1121,112,1038,1066,1140
1122,1142,1041,1067,1160
1124,1143,1044,1069,1168
1125,1152,1046,1070,117
1130,1157,1048,1075,1170
1148,116,1049,1076,1182
1154,1162,1059,1078,1183
1161,1171,1063,1083,119
1172,1174,1064,1086,1203
1176,1178,1068,1090,1206
118,1179,107,1092,1220
1192,1181,1071,1093,1222
1194,1187,1074,1094,1227
12,1189,1077,1095,1234
1204,1190,1087,1096,1249
1235,1201,1089,1099,1251
1236,1202,1091,11,1294
1257,1205,1103,1100,1315
1259,1208,1106,1107,1321
1260,1216,1110,1108,1327
1262,1217,1111,1112,1344
1263,1223,1114,1115,1346
1267,1225,1123,1118,1365
1268,1226,1128,1119,1367
1269,1229,1129,1120,1368
1287,123,1132,1127,1376
1292,1231,1133,1137,1390
1295,1238,1135,1138,1395
1304,1239,1136,1139,1396
1308,1241,1141,1147,1403
1312,1245,1144,1149,1414
1318,1247,1145,1150,1427
1319,1248,1146,1151,1448
1320,1250,115,1153,1488
1323,127,1158,1155,1497
1326,1275,1159,1156,150
1341,1280,1163,1167,1505
1351,1298,1164,1169,1510
1356,1301,1165,1175,1511
1358,1322,1166,1177,1517
1361,1324,1173,120,1518
1372,1329,1180,1207,1533
1379,133,1184,1210,155
1383,1336,1185,1211,1579
1388,1337,1186,1213,1582
1391,1338,1188,1215,1583
1409,1339,1191,1218,160
1419,1342,1193,1219,163
1426,1345,1195,1224,164
1437,1360,1196,1228,1663
1440,1362,1197,1230,1667
1446,1364,1198,1232,167
1451,1366,1199,1233,1689
1457,1370,1200,1237,1719
1470,138,1209,1243,1724
1476,1380,121,1244,1744
1481,1392,1212,125,1749
1483,1397,1214,1252,1777
1484,1398,122,1254,1785
149,1400,1221,1256,181
1491,1404,124,1258,1824
1492,1406,1240,1261,1840
1493,1408,1242,1265,1885
1495,1415,1246,1266,1941
1499,1421,1253,1270,1951
1504,1423,1255,1272,1993
151,1424,126,1273,2074
1514,1431,1264,1277,2088
1516,1456,1271,1279,213
1522,1465,1274,1281,2138
1528,1466,1276,1282,2139
1534,1471,1278,1283,216
1539,1477,128,1284,22
1540,1478,1285,1286,273
1541,1486,1289,1288,276
1542,1489,129,1290,278
1544,15,1293,1291,284
1559,1507,1299,1296,295
1560,1515,13,1297,30
1564,1532,130,1303,301
1567,1535,1300,1305,302
1568,1537,1302,1307,307
1569,154,1306,1309,309
157,1554,1314,131,316
1572,1557,132,1310,335
1577,1566,1325,1311,338
1578,1573,1331,1313,343
1596,1581,1333,1316,360
1599,1589,1335,1317,365
1601,1594,134,1328,367
1636,1614,1340,1330,385
1637,1615,1343,1332,388
1647,1616,1348,1334,392
165,1619,1350,1347,394
1651,1622,1354,1349,410
1653,1632,1355,135,418
1654,1638,1359,1352,446
166,1645,1369,1353,452
1660,1655,1373,1357,471
1661,1656,1375,136,48
1671,1664,1384,1363,489
1674,1665,1387,137,491
1679,1666,139,1371,492
1687,1670,1393,1374,519
1699,168,1394,1377,520
1707,1680,14,1378,522
1712,169,140,1381,526
1713,1701,1402,1382,541
172,1703,141,1385,567
1726,1718,1413,1386,568
173,1721,1425,1389,569
1732,1722,1428,1399,570
1743,1729,1434,1401,574
1745,1730,144,1405,58
1760,1736,1441,1407,600
1763,1747,1445,1410,607
1779,1753,145,1411,623
1780,1764,1450,1412,658
1784,1765,1454,1416,659
1788,1776,1458,1417,682
1797,1781,1463,1418,683
1805,179,1467,142,701
1806,1793,147,1420,705
1816,1798,1474,1422,706
1817,1803,1475,1429,711
1819,1804,1480,143,712
1825,1807,1482,1430,713
1826,1820,1487,1432,72
1831,183,1490,1433,720
1832,1838,1498,1435,721
1834,1846,1503,1436,725
1842,1849,1506,1438,728
1844,1851,1508,1439,730
185,1855,1519,1442,748
1850,186,152,1443,750
1853,1865,1520,1444,751
1854,1874,1521,1447,752
1856,1886,1523,1449,760
1857,1893,1527,1452,764
1866,1896,1543,1453,770
1868,19,1546,1455,772
1869,1900,1548,1459,774
1871,1902,1550,146,775
1877,1906,1552,1460,783
1878,1907,1553,1461,793
1880,1909,1556,1462,811
1888,1917,1558,1464,813
1891,1937,1561,1468,849
1898,1948,1562,1469,871
1901,1949,1563,1472,878
1904,1952,1576,1473,898
1910,1969,1584,1479,944
1911,1973,1590,148,985
1912,1976,1591,1485,
1913,1990,1598,1494,
1914,2001,16,1496,
1922,2004,1602,1500,
1924,2005,1605,1501,
1925,2038,1606,1502,
1928,204,1608,1509,
1931,2042,1610,1512,
1932,2055,1611,1513,
1936,2059,1612,1524,
1939,2060,1613,1525,
1954,2063,162,1526,
1955,207,1620,1529,
1957,2071,1623,153,
1958,2078,1624,1530,
1959,2086,1625,1531,
196,2089,1628,1536,
1963,209,1631,1538,
1965,2090,1640,1545,
1968,2091,1642,1547,
1979,2100,1643,1549,
198,2107,1648,1551,
1985,2115,1649,1555,
1991,223,1652,156,
1994,227,1657,1565,
1995,228,1658,1570,
1996,236,1669,1571,
2000,27,1672,1574,
2002,270,1678,1575,
2003,272,1684,158,
2015,277,1686,1580,
2016,286,1690,1585,
2018,287,1691,1586,
202,290,1695,1587,
2021,294,1696,1588,
2031,299,1697,159,
2032,305,1698,1592,
2049,306,17,1593,
2054,308,1704,1595,
2076,31,1708,1597,
2079,324,1709,1600,
2084,326,1710,1603,
2085,336,1711,1604,
2087,34,1715,1607,
2093,346,1717,1609,
2098,354,1727,161,
2102,356,1728,1617,
2103,357,1731,1618,
2105,36,1733,1621,
2106,368,1734,1626,
2108,370,1735,1627,
2111,371,1737,1629,
2112,374,1739,1630,
2113,376,1740,1633,
2114,380,1748,1634,
2119,381,175,1635,
2127,382,1755,1639,
2131,390,1756,1641,
2132,393,1757,1644,
2133,397,1759,1646,
2136,41,176,1650,
2137,411,1761,1659,
218,415,1762,1662,
221,423,1767,1668,
237,428,1769,1673,
238,430,177,1675,
239,435,1771,1676,
250,437,1774,1677,
252,451,178,1681,
256,465,1790,1682,
257,467,1791,1683,
258,469,1794,1685,
269,488,1795,1688,
275,495,1796,1692,
280,499,1799,1693,
289,503,1800,1694,
291,510,1801,170,
303,516,1802,1700,
319,518,1808,1702,
321,523,1810,1705,
332,525,1811,1706,
359,527,1814,171,
362,528,1815,1714,
377,529,1821,1716,
387,537,1822,1720,
402,538,1829,1723,
403,547,1830,1725,
414,548,1833,1738,
424,549,1836,174,
436,554,1839,1741,
439,557,184,1742,
441,558,1843,1746,
450,563,1847,1750,
454,572,1858,1751,
455,573,1859,1752,
456,578,1863,1754,
463,584,1870,1758,
470,589,1875,1766,
473,59,1876,1768,
481,597,1882,1770,
485,603,1884,1772,
490,605,1887,1773,
494,61,1889,1775,
501,610,189,1778,
51,62,1890,1782,
513,63,1895,1783,
52,650,1897,1786,
534,660,190,1787,
535,661,1903,1789,
536,678,191,1792,
54,679,1915,18,
542,685,1916,180,
545,694,1919,1809,
55,702,1926,1812,
551,723,193,1813,
552,731,1934,1818,
565,735,1938,182,
57,738,1940,1823,
571,745,1945,1827,
575,754,1947,1828,
576,755,195,1835,
582,757,1953,1837,
590,765,1960,1841,
593,769,1962,1845,
596,777,1970,1848,
598,780,1971,1852,
602,781,1972,1860,
624,784,1974,1861,
630,787,1975,1862,
632,789,1977,1864,
634,790,1980,1867,
635,791,1981,187,
651,794,1982,1872,
652,808,1984,1873,
653,837,1986,1879,
654,838,1987,188,
663,839,1988,1881,
