,label,index,OBJECTID,vintage,idf.kw,FootprintArea.m2,building.area.m2,HEIGHT
0,3,10001,10001,before 1980,SingleFamily-pre-1980,292.3854116545027,196.019,16.58
1,3,10002,10002,before 1980,SingleFamily-pre-1980,219.5671710145509,181.2479,18.52
2,3,10003,10003,1981-2008 (2004),SingleFamily-2004,430.3203114868171,340.943,27.6
3,2,10004,10004,before 1980,SingleFamily-pre-1980,221.77246888065628,133.2186,14.79
4,3,10005,10005,before 1980,SingleFamily-pre-1980,322.855165030227,223.5174,13.81
5,1,10006,10006,before 1980,SingleFamily-pre-1980,207.98703559633967,210.5114,24.86
6,3,10007,10007,before 1980,SingleFamily-pre-1980,199.5711879147857,208.2818,21.27
7,3,10008,10008,before 1980,SingleFamily-pre-1980,259.7947657742485,159.4164,15.68
8,4,10009,10009,before 1980,SingleFamily-pre-1980,283.8861246736432,191.0024,16.29
9,4,10010,10010,1981-2008 (2004),SingleFamily-2004,387.14996241501217,409.9677,15.55
10,2,10011,10011,before 1980,SingleFamily-pre-1980,289.1717501503306,182.3627,17.15
11,1,10012,10012,before 1980,SingleFamily-pre-1980,173.70452438885113,119.0978,16.8
12,3,10013,10013,before 1980,SingleFamily-pre-1980,292.5970772665536,251.0158,19.09
13,0,10014,10014,before 1980,SingleFamily-pre-1980,261.895953500305,290.6841,15.98
14,1,10015,10015,before 1980,SingleFamily-pre-1980,352.9363686923328,330.5382,20.67
15,3,10016,10016,before 1980,SingleFamily-pre-1980,612.4758009333366,334.44,18.42
16,3,10017,10017,before 1980,SingleFamily-pre-1980,336.5110003958082,323.4778,25.09
17,3,10018,10018,before 1980,SingleFamily-pre-1980,255.4693606057471,261.1419,25.41
18,4,10019,10019,before 1980,SingleFamily-pre-1980,249.58295523929385,258.0762,25.35
19,1,10020,10020,before 1980,SingleFamily-pre-1980,260.1397949954193,271.0822,22.76
20,3,10021,10021,before 1980,SingleFamily-pre-1980,259.7570078645145,168.7064,13.74
21,2,10022,10022,before 1980,SingleFamily-pre-1980,328.82972112165646,192.8604,14.27
22,2,10023,10023,before 1980,SingleFamily-pre-1980,442.1194938983143,361.1952,18.38
23,1,10024,10024,before 1980,SingleFamily-pre-1980,297.7666933815217,187.2864,13.59
24,1,10025,10025,before 1980,SingleFamily-pre-1980,206.2333276101025,148.64,19.97
25,1,10026,10026,before 1980,SingleFamily-pre-1980,274.4264630060505,195.7403,19.51
26,4,10027,10027,before 1980,SingleFamily-pre-1980,505.0317752345683,284.7385,18.04
27,1,10029,10029,before 1980,SingleFamily-pre-1980,267.40995591023795,168.7064,14.47
28,4,10030,10030,before 1980,SingleFamily-pre-1980,234.47950813587303,139.7216,17.25
29,0,10031,10031,1981-2008 (2004),SingleFamily-2004,430.1462725994717,434.4933,26.89
30,0,10032,10032,before 1980,SingleFamily-pre-1980,466.0307239986143,302.3895,16.21
31,1,10034,10034,before 1980,SingleFamily-pre-1980,306.8857034625848,180.7834,15.73
32,3,10035,10035,before 1980,SingleFamily-pre-1980,278.343424615461,172.9798,13.89
33,3,10036,10036,1981-2008 (2004),SingleFamily-2004,430.4554484737287,328.9589,22.57
34,3,10037,10037,before 1980,SingleFamily-pre-1980,240.4820398261471,139.7216,14.74
35,3,10038,10038,before 1980,SingleFamily-pre-1980,222.277442946693,140.6506,13.21
36,1,10039,10039,before 1980,SingleFamily-pre-1980,209.2535805235946,181.2479,21.18
37,2,10040,10040,before 1980,SingleFamily-pre-1980,482.9676889065794,384.1415,23.54
38,2,10041,10041,before 1980,SingleFamily-pre-1980,217.33202535108103,142.5086,20.26
39,1,10042,10042,before 1980,MultiFamily-pre-1980,404.0708544075807,623.359,30.14
40,1,10043,10043,before 1980,SingleFamily-pre-1980,488.3378469372213,977.6796,36.54
41,1,10044,10044,before 1980,SingleFamily-pre-1980,266.55456687955007,190.3521,17.67
42,3,10045,10045,before 1980,SingleFamily-pre-1980,318.1452561732269,181.3408,16.57
43,2,10046,10046,before 1980,SingleFamily-pre-1980,254.94625237235925,170.0999,15.28
44,0,10047,10047,before 1980,SingleFamily-pre-1980,279.93793907897555,191.7456,15.71
45,1,10048,10048,before 1980,SingleFamily-pre-1980,188.72254046958105,146.4104,13.56
46,1,10049,10049,before 1980,SingleFamily-pre-1980,211.37229345052185,166.0123,16.58
47,1,10050,10050,before 1980,SingleFamily-pre-1980,286.8068943800856,299.8812,17.68
48,1,10051,10051,1981-2008 (2004),SingleFamily-2004,190.06724560710407,384.0486,24.77
49,2,10052,10052,before 1980,SingleFamily-pre-1980,193.89259403546703,240.7039,24.59
50,2,10053,10053,1981-2008 (2004),SingleFamily-2004,337.0366009078918,389.3439,27.24
51,4,10054,10054,before 1980,SingleFamily-pre-1980,277.505497244152,170.7502,13.03
52,1,10055,10055,before 1980,SingleFamily-pre-1980,356.94352759704657,302.2966,21.05
53,3,10056,10056,before 1980,SingleFamily-pre-1980,271.41575824359853,155.5146,12.4
54,4,10057,10057,before 1980,SingleFamily-pre-1980,335.3250104335202,210.6043,13.68
55,1,10058,10058,before 1980,SingleFamily-pre-1980,217.53945397969096,148.2684,13.65
56,3,10059,10059,before 1980,SingleFamily-pre-1980,228.6571788604102,137.1204,10.66
57,3,10060,10060,before 1980,SingleFamily-pre-1980,324.7840823922413,152.0773,15.4
58,2,10062,10062,before 1980,SingleFamily-pre-1980,269.17912848238336,155.5146,17.37
59,4,10063,10063,before 1980,SingleFamily-pre-1980,264.7641837080727,152.0773,17.19
60,2,10064,10064,before 1980,SingleFamily-pre-1980,285.04590142122123,177.7177,14.98
