,index,hgt_median_m,area,yrbuilt
0,0,7.81,1.8097029059654753e-08,1919
1,1,7.29,1.8090902007682726e-08,1922
2,2,5.68,1.8089733751976606e-08,1990
3,3,8.97,1.8087243956147477e-08,1924
4,4,7.45,1.808190678818375e-08,1906
5,5,11.78,1.808009135736828e-08,1989
6,6,8.79,1.8077225389400884e-08,1926
7,7,7.3,1.807889876476422e-08,1927
8,8,7.3,3.5992076253471016e-09,1927
9,9,3.05,1.807889876476422e-08,1927
10,10,3.05,3.5992076253471016e-09,1927
11,11,5.91,1.807399103843971e-08,1924
12,12,10.9,2.2530333996087436e-07,1982
13,13,7.19,1.8073239718150097e-08,1955
14,14,8.54,1.8070001131724647e-08,1923
15,15,8.66,1.8067779158200803e-08,1988
16,16,11.18,1.7506883615483445e-07,1983
17,17,11.19,1.7288607977026476e-07,1983
18,18,9.44,1.8062843809592775e-08,1926
19,19,9.51,1.8061029231805963e-08,1921
20,20,5.47,7.493691350474008e-10,1922
21,21,5.47,1.281761883466363e-08,1922
22,22,5.34,1.805494483960486e-08,1922
23,23,14.36,1.0287671934273939e-07,1973
24,24,12.37,1.0196029043349675e-07,2004
25,25,12.37,2.4541926967261228e-09,2004
26,26,6.86,7.47824646942245e-10,1915
27,27,6.86,1.1223354922719516e-08,1915
28,28,6.86,1.0078350829835895e-09,1915
29,29,6.51,7.47824646942245e-10,1915
30,30,6.51,1.1223354922719516e-08,1915
31,31,6.51,1.0078350829835895e-09,1915
32,32,3.21,7.47824646942245e-10,1915
33,33,3.21,1.1223354922719516e-08,1915
34,34,3.21,1.0078350829835895e-09,1915
35,35,7.75,1.4481396248468074e-08,1915
36,36,7.75,5.377887713803708e-10,1915
37,37,5.75,1.4481396248468074e-08,1920
38,38,5.75,5.377887713803708e-10,1920
39,39,12.91,8.614356104687135e-08,1962
40,40,5.85,1.804477606169343e-08,1926
41,41,8.72,1.8046343071885997e-08,1923
42,42,8.58,7.730116816908026e-08,1960
43,43,11.6,7.703522340586561e-08,1962
44,44,8.87,1.8042677068559963e-08,1964
45,45,10.13,1.8042302611335902e-08,1969
46,46,13.35,7.307147644231985e-08,1980
47,47,17.32,7.223902770593803e-08,1928
48,48,13.01,6.86848946582184e-08,1962
49,49,16.98,6.819340600981125e-08,1928
50,50,13.34,6.807947122837358e-08,1961
51,51,9.07,6.566400708874314e-08,1917
52,52,13.42,6.506175097021746e-08,1963
53,53,15.72,6.353238155757464e-08,1971
54,54,12.1,6.13443487302124e-08,1965
55,55,6.09,7.390134646660561e-10,1925
56,56,6.09,1.3594134502706337e-08,1925
57,57,6.38,1.5069861380822252e-08,1923
58,58,12.9,5.579806349228467e-08,1929
