,index
2,1010
4,1015
5,1019
9,1029
10,1035
12,1042
13,1043
14,1045
16,1048
19,1055
20,1056
27,1073
29,1078
31,1084
32,1085
36,110
37,1104
41,111
47,1144
50,115
51,1151
52,1153
57,117
58,1170
64,1183
66,1189
67,1225
68,1228
69,1229
70,1230
71,1249
72,1251
73,1253
76,1261
77,1262
82,1306
88,132
93,1339
96,1349
97,1350
99,1357
100,1359
101,1360
104,1373
106,1393
107,1395
110,1414
129,1429
282,1454
337,1467
377,14743
378,14744
404,1480
424,1488
439,1491
443,14937
447,1495
449,14955
452,1496
454,14961
457,14976
460,14982
463,14991
464,14992
468,15002
480,15028
481,15037
489,15052
490,15055
491,15056
493,15063
495,15068
496,15069
497,15070
499,15078
502,15088
506,15094
508,15097
509,15098
510,15101
511,15105
512,15107
514,1511
517,15113
519,15118
521,15121
523,15126
525,15128
527,15134
528,15136
529,15138
530,15139
531,15143
533,15146
536,15152
537,15156
538,15158
540,15164
547,15176
549,15180
550,15181
552,15183
557,15195
560,15198
561,15202
563,15207
565,15215
569,15220
572,15225
573,15226
574,15228
577,15231
580,15240
582,15246
583,15247
585,15252
594,15268
596,15270
599,15274
600,15278
601,1528
602,15284
603,15285
605,15287
608,15294
609,15296
615,15304
617,15309
618,15310
627,15324
628,15325
639,15345
648,15365
649,15370
650,15373
656,15383
657,15384
659,15391
661,15394
663,15398
664,15400
667,15404
668,15407
670,15412
671,15415
672,15416
681,15434
682,15436
687,15443
690,15449
691,15451
693,15458
694,15463
699,15481
700,15482
701,15483
702,15484
710,15500
712,15504
713,15506
714,15507
716,15510
720,15515
723,15520
724,15521
725,15522
726,15523
729,15530
731,15536
732,15538
734,15541
735,15542
736,15543
738,15545
742,15552
743,15553
744,15556
745,1556
748,15566
750,15569
751,1557
752,15572
754,15576
756,15580
758,15588
762,1560
763,15603
772,15618
779,15629
780,1563
781,15631
782,15632
783,15633
786,15639
787,15641
788,15643
790,15647
791,15651
792,15652
798,15664
800,15669
801,1567
802,15674
806,15679
807,15680
808,15681
809,15685
810,15686
811,15687
812,15688
814,15692
