,index
0,523381
1,523383
2,523385
3,523388
4,523393
5,523394
6,523398
7,523399
8,523400
9,523402
10,523405
11,523487
12,523488
14,523492
16,523500
17,523501
19,523504
22,523530
23,523531
25,523533
26,523578
27,523592
28,523595
29,523596
30,523609
31,523611
32,523626
33,523627
35,523631
38,523638
39,523639
41,523644
42,523646
43,523647
44,523648
46,523654
47,523655
48,523656
49,523658
50,523659
51,523665
53,523670
56,523677
57,523679
58,523680
59,523681
60,523683
61,523684
62,523685
63,523686
64,523690
65,523692
66,523697
67,523700
68,523701
69,523703
70,523704
72,523708
73,523709
76,523712
77,523714
78,523715
79,523716
80,523717
82,523722
83,523723
84,523724
85,523726
86,523728
87,523730
88,523731
89,523733
91,523736
94,523740
95,523741
96,523743
97,523744
98,523745
99,523746
100,523747
101,523748
102,523749
103,523750
104,523751
105,523752
106,523754
107,523755
108,523756
109,523757
111,523761
112,523762
115,523765
118,523769
120,523779
122,523788
123,523792
125,523799
126,523801
127,523802
128,523803
129,523804
130,523808
131,523811
132,523813
133,523814
134,523816
135,523817
137,523819
139,523824
140,523825
141,523830
142,523832
143,523834
144,523836
145,523837
146,523838
147,523839
148,523840
149,523841
151,523844
152,523848
153,523849
154,523850
155,523853
157,523856
158,523857
159,523860
160,523862
161,523863
162,523864
163,523865
164,523866
165,523867
166,523868
167,523870
168,523871
169,523874
170,523876
171,523877
172,523881
174,523883
176,523886
177,523887
178,523892
179,523894
180,523895
181,523896
182,523898
183,523902
186,523909
187,523913
188,523915
189,523916
190,523918
191,523919
192,523921
193,523925
194,523926
196,523933
197,523934
198,523936
199,523938
200,523939
201,523941
202,523942
203,523943
206,523948
207,523949
208,523950
209,523951
210,523959
211,523961
212,523962
215,523969
216,523976
217,523977
218,523979
219,523980
220,523983
221,523985
223,523987
224,523988
225,523990
226,523991
227,523992
228,523994
229,523995
230,523996
231,523997
232,523998
233,524000
234,524008
235,524009
236,524010
237,524011
239,524014
240,524015
241,524016
242,524019
243,524021
244,524022
245,524024
246,524025
247,524028
248,524032
249,524033
250,524035
251,524036
252,524043
253,524044
254,524046
256,524052
257,524059
258,524060
259,524062
260,524064
261,524065
263,524074
264,524075
265,524126
266,524129
268,524133
269,524143
271,524145
272,524149
274,524152
275,524155
276,524157
277,524158
278,524159
281,524162
283,524164
284,524165
285,524167
287,524172
288,524174
289,524175
290,524176
291,524177
292,524178
293,524286
294,524288
297,524295
298,524302
299,524304
300,524306
301,524310
302,524313
303,524321
305,524325
306,524326
307,524327
308,524328
309,524329
310,524330
311,524331
312,524332
313,524338
314,524339
315,524340
316,524342
317,524343
319,524347
321,524351
323,524356
324,524357
327,524363
328,524365
329,524366
330,524367
331,524369
332,524371
333,524373
335,524376
337,524717
338,524718
339,524719
340,524720
341,524721
343,524757
345,524759
346,524787
347,524788
348,524809
349,524812
350,524821
351,524830
355,524869
356,524871
357,524879
360,524887
361,524889
362,524892
363,524894
364,524895
365,524899
366,524904
368,524913
369,524915
370,524918
371,524922
372,524923
373,524924
374,524925
375,524930
376,524932
378,524936
379,524939
380,524941
381,524945
382,524947
383,524948
386,524954
387,524955
