,OBJECTID
0,1044495
1,1044496
2,1044499
3,1044500
4,1044502
5,1044504
6,1044506
7,1044509
9,1044511
10,1044513
11,1044515
12,1044517
13,1044518
14,1044519
15,1044530
16,1044533
18,1044539
19,1044545
20,1044547
21,1044548
23,1044551
24,1044552
25,1044558
26,1044559
27,1044561
28,1044562
29,1044564
30,1044565
31,1044566
32,1044568
33,1044569
34,1044570
35,1044571
36,1044572
37,1044573
38,1044574
39,1044576
40,1044580
41,1044582
42,1044583
43,1044584
44,1044585
45,1044586
46,1044587
47,1044588
48,1044589
49,1044591
50,1044592
51,1044596
52,1044597
53,1044605
54,1044606
55,1044607
56,1044608
58,1044613
59,1044615
60,1044617
61,1044618
63,1044620
64,1044621
65,1044622
66,1044624
67,1044625
68,1044628
69,1044632
70,1044635
71,1044636
72,1044637
73,1044638
74,1044642
75,1044643
76,1044644
77,1044645
78,1044647
79,1044648
80,1044649
81,1044651
82,1044656
83,1044657
84,1044661
85,1044662
86,1044663
87,1044667
88,1044670
89,1044671
90,1044672
91,1044673
92,1044676
93,1044683
94,1044684
95,1044685
96,1044687
97,1044693
98,1044694
99,1044695
100,1044699
101,1044700
102,1044701
103,1044703
104,1044705
105,1044706
106,1044707
107,1044710
108,1044716
109,1044720
110,1044721
111,1044722
112,1044724
113,1044730
114,1044732
115,1044733
116,1044736
117,1044741
118,1044742
119,1044743
120,1044744
121,1044751
122,1044752
123,1044755
124,1044756
125,1044760
126,1044762
127,1044767
128,1044773
129,1044774
130,1044775
131,1044777
132,1044778
133,1044780
134,1044786
135,1044789
136,1044790
137,1044791
138,1044795
139,1044796
140,1044797
141,1044798
142,1044799
143,1044800
144,1044801
145,1044804
146,1044807
147,1044811
148,1044815
149,1044816
150,1044818
151,1044822
152,1044828
153,1044832
154,1044834
155,1044835
156,1044838
157,1044839
158,1044840
159,1044841
160,1044843
161,1044846
162,1044847
163,1044848
164,1044850
165,1044852
166,1044854
167,1044857
168,1044864
170,1044869
171,1044870
172,1044871
173,1044872
174,1044875
175,1044877
176,1044881
177,1044883
178,1044884
179,1044891
180,1044895
181,1044896
182,1044899
183,1044900
184,1044902
185,1044903
186,1044911
187,1044913
188,1044914
189,1044918
190,1044922
191,1044923
192,1044924
193,1044928
194,1044929
195,1044931
197,1044935
198,1044936
199,1044937
200,1044938
201,1044939
202,1044941
203,1044944
204,1044945
205,1044946
206,1044947
207,1044949
208,1044953
209,1044955
210,1044956
211,1044958
212,1044959
213,1044960
214,1044961
215,1044965
216,1044966
217,1044968
218,1044969
219,1044976
220,1044981
221,1044984
