,OBJECTID
7,2099613
30,2099660
31,2099662
37,2099672
40,2099676
42,2099681
43,2099682
66,2099721
72,2099728
80,2099738
88,2099749
92,2099754
96,2099764
98,2099774
99,2099775
108,2099795
114,2099808
117,2099813
121,2099817
122,2099823
127,2099834
131,2099841
132,2099844
133,2099847
134,2099849
136,2099857
141,2099865
142,2099866
144,2099868
162,2099900
166,2099927
167,2099931
187,2099966
188,2099970
222,2100038
224,2100043
226,2100045
229,2100048
232,2100053
233,2100056
235,2100060
246,2100080
251,2100100
259,2100135
267,2100157
287,2100213
289,2100215
290,2100216
292,2100218
294,2100221
300,2100229
305,2100240
313,2100253
317,2100257
320,2100261
341,2100342
342,2100344
343,2100348
345,2100353
346,2100357
347,2100358
348,2100359
349,2100362
352,2100366
355,2100374
357,2100376
360,2100384
362,2100388
373,2100433
375,2100436
379,2100452
380,2100453
383,2100463
387,2100485
410,2100593
426,2100631
427,2100632
429,2100634
430,2100636
432,2100638
435,2100643
436,2100644
437,2100648
438,2100649
439,2100654
442,2100660
446,2100667
467,2100716
471,2100727
480,2100771
488,2100804
489,2100805
491,2100808
492,2100811
500,2100832
505,2100847
507,2100850
508,2100856
511,2100865
524,2100903
525,2100904
527,2100909
528,2100915
532,2100920
533,2100921
535,2100925
536,2100926
537,2100927
538,2100932
539,2100934
540,2100936
543,2100948
544,2100950
545,2100951
546,2100952
547,2100955
553,2100974
554,2100978
555,2100979
556,2100982
557,2100983
561,2100992
562,2100996
563,2100999
566,2101004
574,2101020
575,2101021
582,2101033
584,2101035
588,2101043
589,2101044
590,2101045
593,2101048
594,2101049
598,2101058
602,2101074
603,2101075
604,2101076
605,2101077
607,2101082
608,2101083
612,2101089
613,2101093
614,2101095
615,2101098
621,2101113
622,2101120
623,2101121
628,2101134
631,2101142
632,2101146
635,2101151
636,2101152
640,2101160
641,2101164
642,2101167
643,2101170
649,2101180
651,2101182
663,2101205
673,2101227
678,2101236
680,2101241
685,2101253
686,2101254
694,2101272
708,2101304
711,2101310
720,2101335
736,2101380
755,2101423
759,2101433
767,2101467
774,2101487
778,2101503
779,2101504
780,2101505
791,2101529
798,2101546
802,2101556
806,2101578
810,2101589
812,2101594
813,2101595
814,2101596
819,2101607
821,2101613
823,2101617
829,2101640
830,2101643
832,2101650
833,2101652
834,2101653
836,2101661
840,2101673
844,2101681
846,2101685
852,2101692
856,2101700
857,2101701
861,2101713
862,2101714
867,2101721
881,2101754
884,2101763
889,2101775
896,2101784
904,2101810
905,2101811
907,2101816
908,2101817
909,2101819
910,2101826
919,2101854
930,2101874
933,2101888
939,2101902
954,2101954
964,2101973
965,2101975
974,2101999
978,2102016
999,2102092
1008,2102127
1011,2102141
1019,2102173
1021,2102178
1024,2102181
1026,2102187
1028,2102193
1030,2102199
1031,2102201
1034,2102209
1036,2102211
1041,2102218
1042,2102219
1043,2102221
1046,2102226
1047,2102227
1051,2102237
1063,2102306
1064,2102309
1070,2102319
1073,2102322
1074,2102325
1075,2102326
1089,2102377
1091,2102384
1095,2102397
1098,2102424
1100,2102428
1105,2102444
1111,2102467
1112,2102468
1113,2102470
1119,2102479
1122,2102483
1132,2102496
1136,2102508
1139,2102528
1142,2102531
1143,2102535
1153,2102577
1159,2102629
1160,2102636
1161,2102639
1167,2102659
1168,2102660
1171,2102677
1172,2102680
1175,2102685
1185,2102711
1186,2102712
1190,2102734
1191,2102736
1199,2102757
1200,2102760
1201,2102761
1202,2102762
1211,2102798
1212,2102802
1213,2102805
1214,2102810
1229,2102859
1231,2102862
1233,2102869
1240,2102887
1243,2102895
1244,2102897
1245,2102903
1247,2102910
1252,2102927
1257,2102939
1272,2102974
1280,2102987
1281,2102988
1297,2103028
1302,2103044
1305,2103051
1311,2103071
1312,2103076
1322,2103109
1325,2103116
1327,2103121
1328,2103124
1329,2103126
1332,2103129
1333,2103130
1347,2103160
1356,2103175
1381,2103214
1401,2103258
1403,2103261
1404,2103262
1408,2103274
1427,2103300
1432,2103313
1438,2103325
1440,2103333
1442,2103340
1443,2103343
1445,2103345
1456,2103368
1458,2103370
1460,2103372
1471,2103390
1473,2103392
1482,2103402
1508,2103443
1522,2103472
1523,2103474
1525,2103476
1533,2103494
1536,2103506
1537,2103507
1540,2103512
1546,2103532
1554,2103548
1555,2103551
1560,2103568
1561,2103573
1563,2103575
1566,2103593
1569,2103602
1572,2103613
1574,2103618
1576,2103623
1578,2103636
1588,2103658
1593,2103678
1594,2103681
1605,2103719
1613,2103731
1620,2103745
1623,2103750
1626,2103754
1629,2103759
1632,2103766
1634,2103771
1636,2103776
1639,2103783
1641,2103786
1643,2103789
1646,2103796
1647,2103807
1655,2103821
1657,2103823
1662,2103835
1663,2103837
1665,2103849
1667,2103856
1668,2103857
1670,2103866
1674,2103871
1683,2103885
1691,2103904
1692,2103908
1693,2103911
1695,2103914
1697,2103922
1708,2103945
1709,2103947
1710,2103949
1717,2103964
1723,2103975
1728,2103990
1734,2104014
1749,2104043
1773,2104084
1778,2104095
1779,2104096
1781,2104098
1782,2104100
1784,2104104
1792,2104136
1794,2104144
1795,2104145
1796,2104146
1797,2104149
1798,2104151
1799,2104152
1800,2104154
1802,2104157
1805,2104168
1814,2104180
1816,2104185
1819,2104195
1822,2104212
1824,2104217
1825,2104219
1829,2104223
1834,2104237
1835,2104242
1837,2104247
1841,2104259
1846,2104274
1849,2104278
1859,2104331
1866,2104345
1873,2104369
1876,2104380
1880,2104408
1882,2104423
1888,2104442
1892,2104456
1904,2104531
1910,2104553
1917,2104581
1918,2104584
1920,2104606
1928,2104636
1931,2104649
1933,2104652
1936,2104665
1939,2104668
1962,2104711
1970,2104729
1976,2104743
1977,2104745
1979,2104748
1981,2104751
1982,2104753
1986,2104768
1987,2104771
1994,2104783
2003,2104809
2008,2104819
2012,2104827
2017,2104837
2027,2104874
2034,2104896
2047,2104942
2052,2104975
2057,2105010
2101,2105142
2107,2105154
2111,2105161
2142,2105225
2143,2105226
2151,2105247
2152,2105248
2154,2105254
2156,2105257
2163,2105268
2165,2105273
2170,2105292
2176,2105318
2186,2105338
2191,2105348
2193,2105351
2194,2105360
2195,2105361
2204,2105380
2208,2105398
2213,2105404
2216,2105409
2219,2105414
2222,2105418
2250,2105483
2252,2105486
2282,2105557
2288,2105571
2289,2105572
2292,2105579
2295,2105591
2297,2105594
2301,2105598
2303,2105601
2306,2105611
2310,2105619
2311,2105621
2314,2105626
2316,2105629
2319,2105634
2320,2105635
2323,2105640
2339,2105660
2340,2105661
2341,2105666
2347,2105676
2352,2105696
2353,2105699
2358,2105708
2360,2105712
2363,2105719
2365,2105723
2368,2105726
2374,2105745
2377,2105753
2379,2105757
2393,2105782
2409,2105816
2411,2105823
2416,2105837
2421,2105847
2432,2105862
2433,2105863
2434,2105864
2436,2105871
2446,2105889
2463,2105916
2468,2105924
2471,2105931
2489,2105970
2494,2105992
2499,2105998
2500,2105999
2501,2106001
2510,2106019
2511,2106020
2535,2106061
2537,2106064
2539,2106068
2545,2106081
2552,2106101
2558,2106114
2559,2106116
2560,2106123
2561,2106125
2565,2106136
2567,2106141
2570,2106148
2571,2106149
2573,2106151
2574,2106153
2577,2106161
2580,2106165
2582,2106169
2583,2106171
2590,2106186
2592,2106190
2596,2106203
2599,2106211
2602,2106216
2606,2106222
2607,2106223
2609,2106226
2610,2106229
2611,2106238
2612,2106243
2639,2106316
2650,2106342
2652,2106345
2653,2106346
2656,2106356
2662,2106374
2663,2106376
2664,2106380
2665,2106382
2670,2106389
2673,2106395
2677,2106403
2680,2106406
2682,2106418
2683,2106419
2684,2106421
2685,2106423
2686,2106425
2693,2106439
2696,2106444
2698,2106448
2706,2106473
2707,2106474
2711,2106502
2714,2106512
2715,2106513
2717,2106524
2719,2106531
2730,2106557
2731,2106558
2733,2106564
2737,2106571
2741,2106575
2742,2106576
2746,2106584
2747,2106587
2752,2106599
2759,2106632
2762,2106643
2768,2106682
2781,2106758
2788,2106779
2789,2106780
2792,2106784
2793,2106786
2799,2106797
2809,2106815
2810,2106821
2814,2106836
2817,2106843
2820,2106848
2822,2106851
2823,2106854
2825,2106856
2828,2106869
2829,2106870
2830,2106871
2831,2106873
2832,2106877
2840,2106899
2846,2106924
2853,2106958
2858,2106970
2861,2106973
2862,2106975
2863,2106979
2882,2107028
2884,2107041
2887,2107047
2891,2107061
2892,2107062
2894,2107066
2895,2107067
2898,2107074
2910,2107089
2921,2107112
2922,2107114
2927,2107120
2932,2107128
2941,2107140
2942,2107148
2945,2107161
2947,2107164
2949,2107176
2951,2107186
2954,2107198
2963,2107222
2966,2107230
2968,2107237
2970,2107244
2975,2107305
2986,2107333
2987,2107338
2988,2107339
2993,2107347
2995,2107350
2997,2107355
2999,2107364
3000,2107366
3001,2107372
3011,2107393
3012,2107395
3026,2107435
3029,2107445
3031,2107448
3034,2107455
3042,2107469
3045,2107475
3055,2107492
3057,2107496
3060,2107500
3063,2107503
3067,2107510
3068,2107514
3073,2107523
3075,2107525
3081,2107537
3095,2107560
3097,2107563
3102,2107570
3103,2107576
3104,2107579
3106,2107582
3112,2107604
3114,2107607
3115,2107608
3116,2107609
3117,2107612
3123,2107625
3139,2107649
3141,2107651
3168,2107727
3171,2107730
3172,2107733
3173,2107736
3178,2107742
3181,2107747
3182,2107748
3191,2107772
3198,2107784
3202,2107806
3211,2107838
3221,2107861
3224,2107864
3225,2107866
3229,2107884
3243,2107931
3247,2107937
3255,2107966
3258,2107969
3266,2107997
3269,2108010
3273,2108077
3274,2108084
3276,2108090
3281,2108100
3282,2108101
3284,2108111
3291,2108127
3312,2108169
3320,2108199
3321,2108200
3322,2108201
3325,2108210
3326,2108212
3337,2108237
3340,2108253
3342,2108257
3351,2108286
3353,2108290
3355,2108295
3356,2108296
3363,2108313
3364,2108314
3369,2108326
3376,2108340
3379,2108347
3384,2108359
3385,2108360
3386,2108362
3387,2108365
3388,2108372
3389,2108374
3390,2108375
3391,2108376
3392,2108379
