category,consumption,Category1,epw
MultiFamily-2004____10,271971046061.63977,MultiFamily-2004,10
MultiFamily-2004____105,252472898145.34552,MultiFamily-2004,105
MultiFamily-2004____106,249760011361.57123,MultiFamily-2004,106
MultiFamily-2004____107,268153239376.40265,MultiFamily-2004,107
MultiFamily-2004____110,346299750341.6675,MultiFamily-2004,110
MultiFamily-2004____111,316831691487.5593,MultiFamily-2004,111
MultiFamily-2004____120,257219649914.792,MultiFamily-2004,120
MultiFamily-2004____23,242437118516.34668,MultiFamily-2004,23
MultiFamily-2004____24,273024005182.07477,MultiFamily-2004,24
MultiFamily-2004____25,284740779162.9619,MultiFamily-2004,25
MultiFamily-2004____30,217745389267.3742,MultiFamily-2004,30
MultiFamily-2004____35,224037862891.503,MultiFamily-2004,35
MultiFamily-2004____36,225627330911.0775,MultiFamily-2004,36
MultiFamily-2004____37,257335959033.53696,MultiFamily-2004,37
MultiFamily-2004____38,266085099368.62738,MultiFamily-2004,38
MultiFamily-2004____39,276646738591.97656,MultiFamily-2004,39
MultiFamily-2004____40,295825974975.1515,MultiFamily-2004,40
MultiFamily-2004____41,300644988703.74255,MultiFamily-2004,41
MultiFamily-2004____48,247356117503.87433,MultiFamily-2004,48
MultiFamily-2004____49,233068101679.30096,MultiFamily-2004,49
MultiFamily-2004____50,231885229725.24738,MultiFamily-2004,50
MultiFamily-2004____51,240564112518.98026,MultiFamily-2004,51
MultiFamily-2004____52,251562491114.83832,MultiFamily-2004,52
MultiFamily-2004____53,273589158852.2025,MultiFamily-2004,53
MultiFamily-2004____54,302268509629.2146,MultiFamily-2004,54
MultiFamily-2004____55,321982258491.964,MultiFamily-2004,55
MultiFamily-2004____62,242805405403.64774,MultiFamily-2004,62
MultiFamily-2004____63,232833613800.11258,MultiFamily-2004,63
MultiFamily-2004____64,230215894692.47617,MultiFamily-2004,64
MultiFamily-2004____65,241494781960.47165,MultiFamily-2004,65
MultiFamily-2004____66,267395614834.9284,MultiFamily-2004,66
MultiFamily-2004____67,302964613217.96643,MultiFamily-2004,67
MultiFamily-2004____69,351976654982.22675,MultiFamily-2004,69
MultiFamily-2004____76,235834199425.08276,MultiFamily-2004,76
