,OBJECTID,idf.kw,FootprintArea.m2,building.area.m2
11,37,SingleFamily-pre-1980,91.31639824081252,69.3963
14,46,SingleFamily-2004,99.9097629694181,193.0462
20,52,MultiFamily-pre-1980,94.01488962319468,189.7018
24,57,SingleFamily-pre-1980,341.02805783596926,314.1878
28,63,SingleFamily-2004,268.2055012603694,325.5216
30,65,SingleFamily-pre-1980,132.55448144921715,101.4468
31,66,MultiFamily-pre-1980,147.33045567293064,173.723
32,67,MultiFamily-pre-1980,114.99620961599918,196.7622
34,69,SingleFamily-pre-1980,101.21980339657202,157.4655
36,75,SingleFamily-pre-1980,55.67302988992506,80.2656
37,76,MultiFamily-pre-1980,110.20953795847105,281.2083
38,77,SingleFamily-pre-1980,105.81233983101224,125.415
39,78,SingleFamily-pre-1980,176.18682959876935,142.4157
40,79,SingleFamily-pre-1980,74.830019093794,63.7294
41,80,SingleFamily-2013,78.14109336369377,104.048
42,81,SingleFamily-pre-1980,91.88323668879625,167.7774
43,82,MultiFamily-pre-1980,88.6613785364268,101.7255
44,83,SingleFamily-pre-1980,69.44718632564884,46.1713
45,88,SingleFamily-2004,359.6952015408191,457.4396
58,107,SingleFamily-2004,329.50609730346656,397.9836
59,108,SingleFamily-pre-1980,115.44913165296722,88.5337
60,109,SingleFamily-pre-1980,75.18147718500806,129.2239
61,110,MultiFamily-pre-1980,120.03205618706647,129.0381
62,111,MultiFamily-pre-1980,96.7557693730902,102.0042
63,112,SingleFamily-pre-1980,74.34130000454141,40.1328
66,115,MultiFamily-pre-1980,67.04517813480645,125.9724
67,117,MultiFamily-pre-1980,92.55146293806905,124.486
68,118,SingleFamily-pre-1980,75.57669623666207,59.5489
70,128,SingleFamily-pre-1980,153.31834319285062,152.1702
72,131,SingleFamily-pre-1980,118.63157440512364,148.1755
73,132,MultiFamily-pre-1980,127.86785294523276,175.581
81,145,SingleFamily-pre-1980,87.5007570300241,61.8714
82,146,SingleFamily-pre-1980,421.159757150752,713.472
83,155,SingleFamily-2004,82.91076018702125,71.6259
84,156,SingleFamily-2013,89.21793975934274,175.0236
86,158,SingleFamily-pre-1980,79.83680903738272,60.1063
88,168,MultiFamily-pre-1980,174.57731090081637,226.9547
89,169,SingleFamily-pre-1980,130.79232372224442,189.7018
90,170,MultiFamily-2004,183.67663862805293,383.4912
91,175,SingleFamily-pre-1980,194.00923153329703,153.0063
93,177,SingleFamily-2004,498.45581629172057,856.1664
94,181,SingleFamily-pre-1980,87.41087602026178,82.4023
95,182,SingleFamily-pre-1980,93.21446397836328,71.533
96,187,SingleFamily-pre-1980,88.30913746660941,136.0985
97,188,SingleFamily-pre-1980,144.28060924634823,175.1165
98,189,SingleFamily-2004,510.7891301001272,545.323
99,193,SingleFamily-2004,76.46558129523294,110.7368
100,194,MultiFamily-pre-1980,88.98521722599365,110.1794
101,195,SingleFamily-pre-1980,228.1831623015104,252.8738
102,196,SingleFamily-pre-1980,85.81821645063832,68.0028
103,197,SingleFamily-2004,94.17250679154856,156.6294
104,198,SingleFamily-pre-1980,229.97700532137029,341.1288
105,202,SingleFamily-pre-1980,129.08326191610317,137.3991
106,203,SingleFamily-pre-1980,43.480427469538704,63.2649
107,204,SingleFamily-pre-1980,143.97026531622538,156.5365
108,207,SingleFamily-2004,177.2444357609252,188.6799
109,215,MultiFamily-pre-1980,66.0019639823792,123.1854
111,244,MultiFamily-pre-1980,166.30057094538748,234.2938
117,263,MultiFamily-pre-1980,216.3944087784828,323.292
118,268,MultiFamily-pre-1980,117.11479258774123,121.9777
119,273,SingleFamily-pre-1980,99.72106417617604,158.6732
120,274,MultiFamily-pre-1980,143.70634714756514,139.0713
121,278,SingleFamily-pre-1980,127.40249905526184,151.5199
122,280,SingleFamily-2004,556.6402647957008,830.3402
123,307,MultiFamily-pre-1980,127.1923262694214,178.8325
124,308,SingleFamily-pre-1980,308.29797600560204,155.143
125,310,SingleFamily-2013,94.4526171260296,147.3394
126,319,MultiFamily-pre-1980,150.2271999869444,195.8332
127,320,SingleFamily-pre-1980,103.138322273131,121.5132
129,322,SingleFamily-2004,230.99779134256812,449.636
130,326,SingleFamily-pre-1980,129.93057800191286,209.2108
131,327,MultiFamily-pre-1980,135.9448307074877,253.9886
132,328,SingleFamily-pre-1980,94.54633986139022,134.705
135,337,MultiFamily-pre-1980,216.52477163242912,222.031
136,338,MultiFamily-pre-1980,74.86330309436886,93.9219
137,339,MultiFamily-pre-1980,121.40483476144712,229.3701
138,340,SingleFamily-pre-1980,101.9047558524826,94.0148
139,342,SingleFamily-pre-1980,202.54330652878872,324.7784
141,349,SingleFamily-pre-1980,284.46287181689144,164.6188
142,350,SingleFamily-2004,164.54707315870056,148.0826
145,353,MultiFamily-pre-1980,117.555730103726,191.374
146,354,SingleFamily-pre-1980,234.59992017897235,207.9102
147,355,SingleFamily-pre-1980,138.6991571725612,92.0639
155,364,MultiFamily-pre-1980,82.81957289955618,465.7077
156,365,MultiFamily-pre-1980,145.08421123554942,258.6336
157,366,MultiFamily-pre-1980,144.65071219182872,199.3634
158,367,MultiFamily-2004,302.3969355890049,334.0684
160,382,MultiFamily-pre-1980,133.45363673837596,211.7191
166,420,SingleFamily-2004,157.04739546373426,221.3807
167,421,MultiFamily-pre-1980,188.3456179322352,169.5425
169,426,SingleFamily-pre-1980,183.81400807519037,255.2892
170,427,MultiFamily-pre-1980,118.07896606914012,231.8784
172,442,SingleFamily-pre-1980,221.33049907868832,384.4202
173,449,SingleFamily-pre-1980,80.01959946136427,61.2211
175,451,SingleFamily-2004,244.60942951316684,113.4309
176,455,SingleFamily-pre-1980,265.55651847143105,348.0034
177,459,MultiFamily-pre-1980,103.08695526615494,80.6372
178,462,SingleFamily-2004,83.56174923823541,86.2112
181,467,SingleFamily-pre-1980,75.20032731065952,70.604
182,474,SingleFamily-pre-1980,107.38642235288565,170.8431
183,482,SingleFamily-pre-1980,92.6155517508566,77.9431
184,486,SingleFamily-pre-1980,51.87159976038386,89.184
185,487,MultiFamily-pre-1980,116.87341394217572,161.646
186,489,SingleFamily-pre-1980,82.34032494589766,109.8078
187,490,SingleFamily-2004,81.61793326345166,100.1462
189,504,MultiFamily-2004,92.64356944972027,133.1257
191,509,MultiFamily-2004,196.94175840932343,283.4379
193,512,MultiFamily-pre-1980,163.19516279366863,183.013
194,513,SingleFamily-pre-1980,111.8334239034419,40.876
198,524,SingleFamily-pre-1980,488.1862718389267,760.4794
199,529,MultiFamily-pre-1980,125.90470193390372,143.066
200,530,SingleFamily-2004,186.3131287987341,252.4093
206,550,SingleFamily-pre-1980,459.2447965119215,478.435
