label,index
1,1000
0,1001
2,1006
1,1007
2,1008
2,1009
3,1010
0,1012
1,1013
3,1014
0,1015
2,1016
1,1018
1,1019
2,1020
3,1021
2,1022
1,1023
2,1024
1,1027
3,1028
0,1029
3,1030
0,1031
3,1032
3,1034
1,1035
1,1036
3,1037
3,1038
1,1039
1,104
0,1040
2,1042
1,1043
3,1044
1,1045
3,1046
3,1047
1,1048
3,1049
3,1050
3,1052
1,1053
2,1054
1,1055
3,1056
1,1057
1,1058
1,1059
3,106
1,1060
0,1061
2,1062
3,1063
0,1064
3,1067
0,1068
3,1069
1,107
4,1070
3,1073
3,1074
3,1075
3,1077
2,1078
1,1079
1,108
2,1080
1,1081
3,1083
1,1084
2,1085
3,1086
3,1087
3,1088
1,1089
1,109
3,1091
3,1092
3,1097
3,1099
3,110
3,1100
2,1101
3,1102
2,1103
2,1104
0,1105
3,1106
3,1107
3,1108
3,1109
3,111
2,1110
1,1111
0,1114
2,1115
1,112
2,1126
3,1132
3,1133
1,1134
3,1135
1,1137
1,1138
0,1140
3,1144
1,1145
3,1146
3,1147
2,1148
3,1149
1,115
1,1150
3,1151
3,1152
2,1153
1,1154
3,1155
3,1156
2,1158
3,1159
2,116
3,1160
2,1161
1,1162
3,1164
3,1165
3,1166
3,1167
3,1168
3,1169
3,117
3,1170
1,1171
1,1172
1,1173
3,1174
3,1175
0,1177
3,1178
1,1179
1,118
2,1180
0,1182
2,1183
3,1184
1,1185
1,1187
2,1188
3,1189
1,119
3,1196
1,120
4,1200
3,1207
3,1208
3,1209
3,121
1,1212
2,1213
3,1214
1,1215
1,1216
2,1217
3,1218
1,122
0,1222
1,1225
0,1226
2,1227
3,1228
1,1229
3,123
3,1230
3,1231
2,1232
1,1234
2,124
1,1249
3,125
1,1251
1,1252
1,1253
0,1256
3,1257
2,1258
3,1259
3,126
3,1260
0,1261
3,1262
3,127
2,1270
3,1271
4,1278
0,128
2,1283
3,129
2,1291
3,1292
1,1293
0,1294
3,1296
1,1297
1,1298
1,130
1,1300
3,1305
1,1306
3,1307
3,1308
2,1309
3,131
0,1310
0,1311
2,1314
2,1315
1,1316
1,1317
1,1318
3,1319
3,132
2,1321
0,1322
2,1323
3,1324
1,1325
3,1326
3,1327
3,1329
2,1330
1,1331
1,1332
2,1335
1,1336
2,1337
1,1338
3,1339
0,1340
0,1342
2,1343
2,1345
2,1346
2,1347
2,1348
3,1349
3,1350
3,1351
1,1352
2,1353
3,1354
1,1355
0,1357
1,1358
1,1359
2,1360
3,1361
3,1362
2,1363
3,1364
0,1365
2,1366
2,1367
1,1371
2,1372
3,1373
3,1374
1,1375
2,1376
3,1377
1,1378
2,1379
3,1380
0,1381
2,1382
3,1384
2,1385
3,1386
2,1389
1,1390
1,1391
2,1392
2,1393
1,1394
1,1395
2,1398
3,1399
0,1402
0,1403
2,1404
3,1405
1,1406
3,1407
1,1408
0,1411
2,1412
3,1413
0,1414
1,1415
1,1416
3,1417
1,1424
1,14253
1,14257
3,14258
0,14259
2,1426
1,14260
1,14261
3,14262
3,14263
0,14266
0,14267
0,14268
0,1427
2,14271
3,14272
1,14273
1,14275
3,14276
3,14277
3,14278
3,14279
3,1428
3,14280
2,14281
1,14284
2,14285
3,14286
3,14287
3,14288
3,1429
1,14290
1,14291
1,14292
0,14293
1,14294
3,14295
3,14296
3,14298
1,14299
2,1430
0,14301
3,14302
3,14303
3,14304
1,14305
2,14306
2,14307
0,14309
3,1431
0,14310
1,14312
3,14313
2,14314
2,14315
2,14316
3,14317
3,14319
0,1432
3,14320
3,14321
3,14322
2,14323
3,14324
3,14325
1,14326
1,14327
0,14328
1,14329
2,1433
1,14330
0,14331
0,14332
3,14333
3,14334
1,14335
1,14336
3,14337
3,14338
1,14339
2,1434
1,14343
3,14344
1,14345
2,14346
1,14347
3,14349
1,1435
1,14350
3,14351
1,14352
3,14353
3,14354
1,14355
1,14356
3,14357
0,14358
3,14359
2,1436
0,14360
3,14361
3,14362
3,14363
3,14364
1,14365
3,14366
3,14367
3,14368
0,14369
3,1437
3,14370
3,14372
0,14374
2,14375
0,14376
1,14377
2,14378
2,14379
3,14380
1,14381
3,14382
3,14383
0,14384
1,14385
3,14386
3,14387
0,14388
3,1439
3,14391
3,14392
1,14393
1,14394
1,14395
3,14396
0,14398
2,14399
0,1440
2,14400
2,14401
3,14402
2,14403
0,14404
3,14405
1,14406
1,14407
3,14408
3,14409
1,1441
1,14410
0,14411
0,14412
3,14413
1,14414
3,14415
3,14416
1,14417
1,14418
1,14419
3,1442
1,14420
3,14421
0,14422
3,14423
3,14425
2,14426
0,14428
3,14429
3,1443
3,14430
2,14431
2,14432
1,14433
2,14435
3,14439
0,1444
2,14440
0,14441
2,14442
1,14443
3,14444
3,14445
3,14446
1,14447
3,14448
0,14449
3,1445
3,14452
1,14453
3,14454
3,14456
3,14457
1,14458
3,14459
2,1446
1,14460
0,14461
3,14462
3,14463
1,14464
3,14465
3,14466
1,14467
1,14468
1,14469
3,1447
3,14472
1,14473
3,14474
3,14475
1,14476
2,14477
3,14478
3,14479
2,1448
1,14480
2,14481
3,14482
3,14483
1,14484
3,14485
3,14486
3,14487
1,14488
1,14489
2,1449
3,14490
3,14491
1,14492
1,14493
3,14494
0,14495
1,14496
3,14497
1,14499
3,145
2,1450
1,14500
0,14502
3,14503
0,14504
1,14505
3,14506
3,14507
3,14508
1,14509
0,14510
3,14511
3,14512
3,14513
1,14514
1,14515
3,14516
1,14517
1,14518
1,14519
3,14521
2,14522
2,14523
3,14524
1,14525
3,14526
1,14527
1,14528
1,14529
1,1453
1,14530
3,14531
3,14532
3,14533
1,14534
3,14535
3,14536
3,14537
3,14538
0,14539
3,1454
1,14540
0,14541
1,14542
3,14544
1,14545
1,14546
3,14547
2,14548
1,14549
3,1455
3,14550
1,14551
3,14552
3,14553
2,14554
1,14556
1,14557
1,14558
1,14559
2,1456
3,14560
2,14561
3,14562
3,14563
0,14564
3,14565
0,14566
1,14567
3,14569
1,14570
1,14571
3,14572
3,14573
0,14575
3,14577
3,14578
3,14579
0,1458
1,14580
1,14581
