label,index
1,1010
2,1015
1,1019
0,1029
1,1035
2,1042
1,1043
1,1045
1,1048
1,1055
2,1056
2,1073
2,1078
1,1084
2,1085
2,110
2,1104
2,111
2,1144
1,115
2,1151
2,1153
2,117
2,1170
2,1183
2,1189
1,1225
2,1228
1,1229
1,1230
1,1249
1,1251
1,1253
2,1261
2,1262
1,1306
2,132
2,1339
2,1349
2,1350
0,1357
1,1359
0,1360
2,1373
1,1393
1,1395
0,1414
2,1429
2,1454
2,1467
0,14743
2,14744
2,1480
1,1488
0,1491
1,14937
2,1495
2,14955
2,1496
1,14961
1,14976
1,14982
0,14991
2,14992
2,15002
2,15028
2,15037
2,15052
2,15055
2,15056
2,15063
1,15068
2,15069
1,15070
2,15078
2,15088
2,15094
2,15097
2,15098
1,15101
1,15105
2,15107
0,1511
2,15113
1,15118
2,15121
1,15126
2,15128
2,15134
2,15136
2,15138
1,15139
2,15143
1,15146
2,15152
2,15156
2,15158
2,15164
2,15176
0,15180
1,15181
2,15183
1,15195
2,15198
2,15202
0,15207
2,15215
1,15220
1,15225
1,15226
1,15228
1,15231
2,15240
2,15246
1,15247
2,15252
1,15268
0,15270
2,15274
2,15278
0,1528
2,15284
1,15285
2,15287
2,15294
0,15296
1,15304
2,15309
2,15310
2,15324
2,15325
2,15345
2,15365
2,15370
1,15373
1,15383
1,15384
1,15391
2,15394
1,15398
1,15400
1,15404
2,15407
0,15412
1,15415
1,15416
1,15434
2,15436
1,15443
2,15449
1,15451
1,15458
1,15463
1,15481
1,15482
2,15483
0,15484
0,15500
2,15504
1,15506
2,15507
1,15510
0,15515
2,15520
1,15521
1,15522
1,15523
2,15530
2,15536
2,15538
2,15541
2,15542
1,15543
2,15545
1,15552
1,15553
0,15556
2,1556
2,15566
2,15569
1,1557
2,15572
2,15576
2,15580
2,15588
1,1560
2,15603
0,15618
1,15629
0,1563
1,15631
2,15632
1,15633
1,15639
0,15641
2,15643
1,15647
2,15651
2,15652
1,15664
2,15669
0,1567
2,15674
1,15679
2,15680
2,15681
1,15685
2,15686
2,15687
2,15688
1,15692
2,15693
1,15698
2,1572
1,15722
2,1573
2,15731
2,15732
1,15735
0,1574
0,15747
2,1575
0,1576
2,1577
1,15770
0,15772
2,15777
2,1578
2,15781
2,15785
2,15786
2,15787
2,1579
1,15793
2,15794
2,15795
2,15802
2,15803
2,15809
2,15810
1,15812
1,15813
2,15818
1,15819
2,1582
1,15826
0,15828
2,15829
2,1583
2,1584
2,1585
1,15850
2,15862
1,15863
1,15865
1,15866
2,15872
1,15894
2,15895
1,15896
1,15897
2,15898
2,15905
0,15923
1,15936
0,15939
2,15942
1,15944
2,15945
1,15948
1,15949
2,15950
1,15952
2,15953
1,15956
0,15958
