label,index
3,523381
3,523383
1,523385
2,523388
2,523393
3,523394
0,523398
1,523399
2,523400
2,523402
1,523405
0,523487
2,523488
3,523492
3,523500
3,523501
2,523504
2,523530
3,523531
1,523533
0,523578
2,523592
3,523595
2,523596
1,523609
1,523611
3,523626
3,523627
1,523631
1,523638
2,523639
2,523644
1,523646
3,523647
3,523648
1,523654
0,523655
0,523656
2,523658
1,523659
3,523665
3,523670
2,523677
1,523679
0,523680
2,523681
2,523683
0,523684
0,523685
2,523686
1,523690
3,523692
1,523697
1,523700
2,523701
3,523703
1,523704
1,523708
3,523709
3,523712
1,523714
3,523715
1,523716
3,523717
0,523722
2,523723
1,523724
3,523726
1,523728
0,523730
3,523731
2,523733
2,523736
0,523740
3,523741
1,523743
1,523744
3,523745
3,523746
3,523747
3,523748
1,523749
3,523750
3,523751
2,523752
1,523754
0,523755
2,523756
2,523757
2,523761
0,523762
3,523765
3,523769
0,523779
3,523788
3,523792
1,523799
2,523801
0,523802
3,523803
3,523804
1,523808
0,523811
0,523813
0,523814
2,523816
2,523817
3,523819
2,523824
0,523825
1,523830
2,523832
0,523834
2,523836
3,523837
0,523838
1,523839
3,523840
0,523841
2,523844
2,523848
0,523849
3,523850
3,523853
3,523856
3,523857
2,523860
3,523862
2,523863
2,523864
3,523865
0,523866
0,523867
2,523868
0,523870
1,523871
3,523874
0,523876
3,523877
2,523881
1,523883
2,523886
0,523887
2,523892
0,523894
0,523895
1,523896
2,523898
0,523902
0,523909
0,523913
1,523915
2,523916
2,523918
0,523919
0,523921
3,523925
3,523926
0,523933
1,523934
1,523936
1,523938
3,523939
3,523941
0,523942
0,523943
2,523948
3,523949
3,523950
2,523951
1,523959
0,523961
0,523962
2,523969
1,523976
3,523977
2,523979
3,523980
1,523983
2,523985
1,523987
0,523988
1,523990
2,523991
3,523992
3,523994
2,523995
3,523996
2,523997
2,523998
0,524000
3,524008
3,524009
2,524010
3,524011
1,524014
0,524015
0,524016
3,524019
0,524021
1,524022
3,524024
0,524025
0,524028
3,524032
3,524033
0,524035
1,524036
1,524043
1,524044
3,524046
1,524052
3,524059
2,524060
3,524062
3,524064
0,524065
0,524074
1,524075
1,524126
1,524129
1,524133
2,524143
0,524145
0,524149
1,524152
1,524155
3,524157
0,524158
1,524159
1,524162
3,524164
1,524165
2,524167
3,524172
1,524174
0,524175
0,524176
3,524177
3,524178
1,524286
0,524288
3,524295
3,524302
1,524304
1,524306
1,524310
1,524313
3,524321
1,524325
3,524326
2,524327
0,524328
1,524329
3,524330
1,524331
3,524332
1,524338
2,524339
3,524340
1,524342
3,524343
3,524347
3,524351
3,524356
3,524357
1,524363
2,524365
1,524366
3,524367
1,524369
3,524371
1,524373
3,524376
1,524717
0,524718
0,524719
3,524720
0,524721
3,524757
1,524759
1,524787
0,524788
3,524809
0,524812
0,524821
3,524830
2,524869
3,524871
0,524879
1,524887
2,524889
3,524892
1,524894
0,524895
2,524899
1,524904
2,524913
3,524915
1,524918
3,524922
0,524923
2,524924
0,524925
1,524930
0,524932
1,524936
0,524939
1,524941
3,524945
2,524947
0,524948
2,524954
0,524955
2,524956
3,524958
2,524959
0,524960
2,524965
0,524968
3,524973
2,524975
2,524978
3,524983
1,524997
0,525005
1,525006
2,525007
0,525008
2,525011
3,525012
0,525013
1,525014
1,525016
2,525017
0,525032
3,525033
3,525036
2,525037
0,525046
0,525050
1,525053
0,525055
0,525057
3,525059
3,525061
3,525064
2,525066
0,525067
2,525080
0,525081
0,525082
2,525088
3,525089
0,525091
2,525093
3,525094
3,525095
1,525100
2,525103
0,525108
2,525112
3,525113
1,525114
1,525116
0,525117
0,525122
2,525123
0,525128
2,525137
3,525139
2,525143
2,525148
0,525161
2,525167
0,525173
0,525174
1,525175
3,525180
2,525182
3,525184
2,525191
1,525196
0,525202
3,525203
3,525205
2,525207
2,525214
0,525221
3,525224
3,525225
1,525226
2,525227
3,525229
0,525231
3,525234
3,525237
3,525240
3,525241
0,525242
3,525246
0,525250
2,525251
0,525252
2,525253
3,525261
0,525264
0,525266
2,525269
3,525270
0,525271
0,525272
1,525274
2,525276
1,525277
1,525283
0,525286
0,525289
2,525291
0,525292
2,525293
2,525295
2,525297
1,525299
0,525300
1,525301
2,525302
1,525303
0,525304
3,525306
3,525309
1,525312
3,525313
3,525316
0,525317
0,525318
3,525319
2,525324
1,525325
1,525326
1,525329
3,525330
1,525331
0,525332
2,525337
1,525338
2,525342
2,525343
0,525347
0,525348
3,525349
2,525357
2,525358
0,525362
1,525364
1,525370
2,525371
2,525378
0,525379
1,525380
2,525382
3,525431
1,525432
3,525436
1,525437
3,525438
3,525439
1,525457
1,525458
3,525459
1,525460
2,525464
3,525466
3,525468
1,525472
3,525473
0,525477
0,525479
1,525480
3,525481
3,525482
0,525483
1,525485
0,525512
2,525513
2,525514
0,525516
2,525517
3,525518
3,525519
3,525526
3,525528
3,525531
2,525532
2,525542
3,525544
2,525545
2,525547
3,525549
3,525550
3,525551
0,525552
2,525553
3,525554
0,525555
3,525557
0,525558
3,525562
3,525563
3,525566
2,525568
3,525570
3,525572
0,525576
3,525580
3,525581
3,525582
0,525585
0,525591
3,525592
1,525594
2,525595
1,525597
3,525598
1,525600
3,525601
3,525603
1,525606
1,525607
3,525609
0,525664
2,525666
0,525702
1,525703
3,525704
1,525705
1,525706
1,525708
3,525709
2,525713
1,525714
3,525716
1,525719
2,525721
1,525722
3,525724
3,525728
2,525729
1,525732
3,525733
0,525734
1,525742
1,525744
0,525745
0,525747
3,525750
0,525751
3,525752
1,525754
1,525756
0,525757
1,525758
3,525761
0,525762
1,525763
3,525764
3,525765
0,525767
0,525771
2,525772
2,525773
0,525777
0,525780
2,525782
2,525784
2,525785
2,525792
1,525798
1,525800
0,525801
1,525807
0,525808
2,525816
3,525817
2,525820
0,525826
3,525848
1,525849
2,525853
1,525854
3,525857
3,525868
0,525870
0,525871
0,525876
2,525882
2,525884
3,525885
3,525887
1,525888
0,525889
1,525892
3,525894
3,525899
3,525901
2,525902
3,525905
3,525909
3,525914
3,525915
0,525917
3,525918
2,525921
0,525922
2,525923
3,525924
2,525926
0,525931
0,525932
2,525933
2,525937
0,525939
0,525944
0,525947
3,525949
0,525951
3,525999
3,526004
3,526006
3,526007
2,526008
2,526013
1,526014
0,526015
3,526016
0,526017
3,526023
3,526025
3,526026
2,526027
2,526028
3,526029
2,526041
2,526051
1,526054
2,526056
1,526059
1,526060
1,526062
3,526077
2,526079
0,526082
0,526083
1,527435
1,527447
0,527451
2,527455
1,527457
2,527459
2,527461
2,527492
3,527493
2,527496
3,527497
1,527502
3,527504
2,527505
3,527506
0,527512
3,527513
3,527515
3,527517
2,527519
3,527522
0,527523
0,527531
1,527534
0,527536
1,527538
3,527539
0,527540
2,527541
0,527551
2,527553
1,527556
0,527558
3,527562
3,527563
0,527564
3,527565
3,527566
1,527568
3,527572
3,527574
1,527576
1,527577
1,527578
2,527579
2,527580
3,527583
3,527585
3,527587
2,527589
0,527593
3,527594
0,527597
1,527600
3,527610
3,527621
1,527664
1,527668
2,527677
2,527678
0,527679
1,527684
2,527685
0,527686
3,527687
2,527692
2,527693
1,527697
1,527699
2,527700
2,527706
0,527713
3,527714
3,527755
1,527756
0,527762
2,527767
3,527768
3,527769
1,527770
1,527772
3,527773
1,527774
1,527779
1,527783
0,527790
0,527794
2,527798
0,527799
0,527800
0,527802
3,527805
3,527806
0,527808
0,527810
3,527813
1,527814
3,527816
3,527818
3,527823
1,527828
3,527829
0,527833
0,527857
1,527859
2,527872
1,527875
2,527888
2,527890
0,527891
1,527903
0,527904
2,527905
0,527915
1,527918
1,527920
0,527924
1,527931
1,527932
0,527937
2,527944
0,527948
1,527950
2,527951
0,527953
0,527960
0,527974
2,527983
0,527984
0,527987
2,527990
0,527991
3,527992
2,527998
3,528000
0,528003
0,528004
2,528015
0,528020
0,528026
0,528028
1,528030
0,528031
0,528033
0,528037
1,528039
1,528054
1,528057
0,528059
2,528061
0,528063
2,528066
0,528067
3,528069
1,528070
0,528076
2,528080
1,528082
3,528085
0,528086
0,528088
1,528090
0,528091
2,528093
3,528101
3,528102
2,528104
0,528105
3,528106
2,528118
0,528124
0,528134
0,528137
1,528138
2,528143
3,528147
2,528149
2,528151
2,528153
3,528159
1,528161
0,528166
3,528169
2,528170
1,528173
2,528175
2,528176
1,528177
2,528180
1,528181
1,528185
0,528186
1,528187
0,528190
0,528196
2,528202
