label,index
1,1044510
0,1044534
1,1044550
1,1044609
0,1044619
0,1044865
1,1044934
0,1045049
0,1045123
0,1045208
1,1045221
0,1045260
1,1045466
1,1045500
0,1045519
0,1045585
1,1045735
0,1045767
1,1045799
1,1046059
1,1046383
1,1046396
0,1046491
1,1046548
1,1046686
0,1046701
0,1046910
0,1046918
1,1046953
0,1047085
1,1047164
1,1047221
1,1047325
1,1047375
1,1047388
1,1047544
1,1047748
1,1047811
0,1047979
1,1048012
1,1048029
1,1048079
1,1048083
1,1048178
1,1048283
1,1048356
1,1048505
0,1048920
0,1049040
1,1049104
0,1049192
1,1049217
0,1049283
1,1049306
0,1049327
1,1049612
0,1049772
1,1049782
0,1049874
1,1049951
1,1050058
0,1050123
1,1050173
0,1050277
0,1050360
1,1050455
1,1050470
1,1050610
0,1050706
1,1050908
1,1050946
0,1050966
0,1051122
0,1051148
1,1051231
1,1051343
1,1051395
0,1051920
1,1051983
0,1052066
1,1052122
1,1052179
1,1052287
0,1052352
1,1052601
0,1052643
1,1052725
1,1053014
0,1053200
1,1053343
1,1053351
0,1053366
1,1053375
1,1053376
1,1053378
1,1053464
1,1053476
0,1053489
1,1053491
0,1053517
0,1053531
1,1053542
0,1053604
1,1053609
0,1053626
1,1053648
0,1053665
1,1053669
1,1053684
0,1053715
1,1053717
1,1053723
0,1053733
1,1053740
1,1053767
0,1053822
1,1053824
1,1053862
1,1053863
1,1053900
0,1053958
0,1053960
1,1054050
1,1054127
1,1054281
0,1054285
1,1054300
0,1054320
1,1054332
1,1054333
1,1054342
0,1054348
1,1054357
0,1054367
1,1054379
1,1054400
1,1054404
1,1054414
0,1054436
1,1054450
1,1054460
0,1054485
1,1054562
1,1054566
1,1054569
1,1054572
1,1054593
1,1054600
0,1054625
1,1054643
1,1054674
0,1054698
0,1054719
1,1054796
0,1054810
0,1054839
0,1054877
1,1054915
1,1055377
1,1055428
1,1055714
1,1056543
1,1057155
0,1058383
0,1059697
0,1059757
0,1059795
1,1059798
0,1059799
1,1059858
0,1059911
0,1060050
0,1060098
1,1060112
1,1060275
0,1060403
1,1060525
0,1061054
0,1061059
1,1061079
1,1061088
1,1061128
0,1061130
1,1061137
0,1061185
1,1061209
1,1061210
0,1061223
0,1061262
1,1061265
0,1061483
0,1061493
1,1061541
1,1061610
0,1061774
1,1061786
0,1061863
0,1061900
0,1061968
1,1061993
1,1061999
0,1062042
0,1062057
1,1062114
0,1062142
1,1062146
0,1062244
0,1062268
1,1062294
1,1062359
0,1062503
1,1062504
0,1062564
1,1062766
0,1062965
1,1063062
1,1063134
1,1063136
0,1063165
1,1063208
0,1063328
1,1063375
1,1063513
1,1063600
1,1063714
0,1063769
1,1063850
0,1063851
1,1063887
1,1063889
1,1063914
0,1063918
1,1064088
1,1064100
1,1064116
0,1064140
1,1064301
0,1064584
0,1064588
1,1064598
1,1064611
1,1064621
1,1064636
0,1064643
0,1064835
1,1064865
1,1064879
0,1064883
1,1064953
1,1065287
1,1065289
1,1065353
0,1065386
0,1065398
1,1065401
1,1065421
0,1065425
0,1065430
1,1065437
1,1065531
1,1065543
1,1065561
1,1065565
1,1065568
1,1065590
0,1065609
0,1065636
0,1065696
1,1065981
1,1065984
1,1065990
1,1066009
1,1066165
0,1066442
1,1066497
1,1066508
1,1066556
0,1066655
1,1066656
1,1066666
1,1066676
0,1066678
1,1066689
1,1066693
1,1066713
1,1066769
0,1066792
1,1066834
1,1066845
0,1067148
1,1067156
1,1067341
0,1067353
0,1067355
1,1067363
0,1067382
1,1067402
0,1067406
1,1067437
1,1067540
0,1067653
0,1067819
0,1067879
1,1067884
1,1067903
1,1068111
0,1068115
0,1068117
1,1068141
1,1068157
0,1068274
0,1068292
1,1068298
0,1068440
1,1068443
1,1068450
1,1068520
1,1068623
1,1068717
1,1068719
1,1068731
1,1068740
0,1068765
1,1068939
0,1069082
0,1069102
1,1069110
1,1069112
0,1069221
1,1069252
0,1069253
1,1069255
1,1069263
1,1069264
1,1069370
1,1069475
1,1069486
0,1069601
1,1069673
0,1069680
0,1070065
1,1070075
0,1070089
0,1070091
0,1070151
0,1070153
1,1070166
0,1070199
