label,index
1,2099603
1,2099604
2,2099606
1,2099607
1,2099608
3,2099609
1,2099612
1,2099614
1,2099615
1,2099617
3,2099618
3,2099619
0,2099620
0,2099621
3,2099622
3,2099624
0,2099626
3,2099630
3,2099631
0,2099632
0,2099633
1,2099634
3,2099635
1,2099637
3,2099643
0,2099644
1,2099649
1,2099650
1,2099656
1,2099664
3,2099665
1,2099668
1,2099669
3,2099671
1,2099673
1,2099674
1,2099679
1,2099686
3,2099688
0,2099692
1,2099694
0,2099695
3,2099696
2,2099697
0,2099698
3,2099701
3,2099702
3,2099703
1,2099705
2,2099707
3,2099708
1,2099710
3,2099712
1,2099713
3,2099714
3,2099715
1,2099717
1,2099718
1,2099720
1,2099722
3,2099723
1,2099724
3,2099725
1,2099726
0,2099729
3,2099730
0,2099732
3,2099733
3,2099734
1,2099735
3,2099737
3,2099740
0,2099741
0,2099743
3,2099744
1,2099745
0,2099746
1,2099748
3,2099750
1,2099752
1,2099753
0,2099755
1,2099756
3,2099757
0,2099766
3,2099777
0,2099778
1,2099785
0,2099787
3,2099788
2,2099791
1,2099792
1,2099794
3,2099796
0,2099798
2,2099801
1,2099804
1,2099805
0,2099810
0,2099811
3,2099814
1,2099815
3,2099816
1,2099825
1,2099826
0,2099832
1,2099833
0,2099835
1,2099836
1,2099840
1,2099852
0,2099858
0,2099859
1,2099861
1,2099862
0,2099867
0,2099872
1,2099873
3,2099874
3,2099876
3,2099877
3,2099878
1,2099880
3,2099881
3,2099882
1,2099883
3,2099886
3,2099887
3,2099888
1,2099889
1,2099890
2,2099891
3,2099892
0,2099910
3,2099912
1,2099920
3,2099935
3,2099937
0,2099939
3,2099940
0,2099941
1,2099946
3,2099950
1,2099951
3,2099954
1,2099955
1,2099956
3,2099957
3,2099958
1,2099959
0,2099960
3,2099961
3,2099962
3,2099963
1,2099964
0,2099972
1,2099974
1,2099976
1,2099979
3,2099980
1,2099981
3,2099982
1,2099985
3,2099986
3,2099987
1,2099988
1,2099989
3,2099994
3,2099995
1,2099996
1,2099999
3,2100001
1,2100003
0,2100007
3,2100008
0,2100010
2,2100012
1,2100013
3,2100015
3,2100017
3,2100021
3,2100022
3,2100023
1,2100025
2,2100029
0,2100030
0,2100031
0,2100033
0,2100040
3,2100044
0,2100046
0,2100047
1,2100049
3,2100050
3,2100059
1,2100061
3,2100063
1,2100065
1,2100066
2,2100067
2,2100068
3,2100074
1,2100076
3,2100077
0,2100079
3,2100083
1,2100085
1,2100092
1,2100093
3,2100103
3,2100105
1,2100114
3,2100119
2,2100122
3,2100128
0,2100130
1,2100141
1,2100143
1,2100148
1,2100151
3,2100152
1,2100153
1,2100154
3,2100162
1,2100163
1,2100164
3,2100165
3,2100166
3,2100170
2,2100173
3,2100175
2,2100177
1,2100180
1,2100185
0,2100187
1,2100189
1,2100192
1,2100193
3,2100194
