label,index
2,1007
4,1008
3,1012
4,1022
2,1027
1,1028
2,1036
1,1046
1,1050
1,1054
2,1058
2,1059
4,1062
1,1063
1,1069
2,107
4,1075
2,108
1,1088
1,109
1,1097
3,1105
1,1106
1,1108
3,1114
2,112
4,1126
1,1132
2,1137
2,1145
1,1146
2,1154
1,1159
1,1164
2,1169
1,1175
1,1178
2,1179
1,118
3,1182
3,1184
2,1257
4,1258
1,1271
0,1278
3,128
4,1291
4,1309
1,131
3,1311
1,1314
1,1319
4,1321
4,1323
3,1324
4,1332
3,1340
4,1346
3,1351
1,1362
3,1365
4,1376
2,1406
4,1412
2,1424
1,14258
2,14260
2,14261
1,14263
3,14266
3,14268
4,14271
2,14273
1,14276
1,14277
1,14278
1,14279
1,14280
4,14281
1,14284
1,14286
1,14287
2,14292
3,14293
2,14294
1,14295
1,14296
2,14299
1,14302
4,14306
3,14309
3,1431
3,14310
1,14313
4,14315
4,14316
2,14317
1,14319
1,14320
1,14321
4,14323
1,14324
2,14326
2,14327
3,14331
3,14332
1,14333
1,14334
2,14335
1,14337
2,14343
1,14344
2,14345
4,14346
1,14349
2,14350
1,14351
2,14352
1,14353
1,14354
2,14359
3,14360
1,14361
1,14363
1,14364
2,14365
1,14367
1,14368
3,14369
1,14370
3,14374
4,14375
3,14376
1,14377
4,14378
4,14379
2,14381
1,14382
1,14383
1,14386
1,14387
1,14391
2,14395
1,14396
3,14398
4,14399
4,14401
3,14404
2,14406
2,14407
1,14408
1,14409
2,1441
3,14412
1,14413
2,14414
3,14415
1,14416
2,14418
2,14420
3,14422
1,14423
1,14425
3,14428
2,14429
1,1443
4,14431
4,14432
2,14433
4,14435
1,14439
3,14441
4,14442
2,14443
1,14445
1,14446
2,14447
2,14448
3,14449
1,1445
1,14452
1,14453
2,14458
1,14462
1,14465
1,14466
2,14467
2,14468
1,14472
2,14476
3,14477
1,14478
1,14479
2,14480
4,14481
4,14483
2,14484
1,14485
1,14486
1,14487
1,14490
1,14491
2,14492
2,14493
1,14494
2,14496
1,14497
2,14499
1,145
4,1450
3,14502
1,14503
3,14504
2,14506
1,14507
1,14508
1,14511
1,14512
2,14514
1,14515
4,14516
2,14518
2,14519
2,14525
1,14527
2,14528
2,14529
2,14530
1,14531
1,14532
4,14533
2,14534
1,14535
3,14539
4,14545
