label,index
4,10001
4,10002
3,10003
2,10004
4,10005
3,10006
4,10007
4,10008
3,10009
3,10010
2,10011
4,10012
4,10013
0,10014
4,10015
4,10016
4,10017
4,10018
3,10019
4,10020
4,10021
2,10022
2,10023
4,10024
4,10025
4,10026
3,10027
4,10029
3,10030
0,10031
0,10032
4,10034
4,10035
4,10036
4,10037
4,10038
3,10039
2,10040
2,10041
4,10042
3,10043
4,10044
4,10045
2,10046
0,10047
4,10048
4,10049
3,10050
4,10051
2,10052
2,10053
3,10054
2,10055
4,10056
3,10057
3,10058
0,10059
4,10060
3,10061
2,10062
3,10063
2,10064
4,10065
2,10066
0,10071
0,10072
3,10073
4,10074
4,10075
3,10076
4,10077
2,10078
4,10079
2,10080
4,10081
4,10082
4,10083
4,10084
4,10085
2,10086
4,10089
4,10090
4,10091
4,10093
4,10094
2,10095
2,10096
2,10097
4,10098
2,10099
4,10100
4,10101
4,10102
4,10103
4,10104
2,10105
3,10106
2,10107
4,10108
4,10109
4,10111
4,10112
4,10113
3,10114
4,10115
4,10116
2,10117
2,10118
4,10119
4,10120
2,10121
2,10122
3,10123
4,10124
4,10125
4,10126
4,10127
4,10128
0,10129
4,10130
2,10131
2,10132
2,10133
3,10134
0,10135
3,10136
2,10137
4,10143
4,10144
2,10145
4,10146
4,10147
2,10148
4,10149
0,10150
4,10151
0,10152
0,10153
3,10154
4,10155
2,10156
4,10157
4,10158
4,10159
2,10160
4,10161
4,10163
0,10164
4,10166
0,10167
0,10168
0,10169
0,10170
3,10171
0,10172
4,10173
2,10174
3,10175
4,10176
4,10177
4,10178
4,10179
4,10180
4,10181
4,10182
2,10183
4,10184
4,10185
4,10186
3,10187
4,10188
4,10189
2,10190
2,10191
2,10192
4,10193
4,10194
3,10195
4,10196
4,10197
4,10198
0,10199
4,10200
3,10201
4,10202
4,10203
4,10204
0,10205
4,10206
4,10207
4,10208
3,10209
2,10210
4,10211
4,10212
4,10213
4,10214
4,10215
4,10216
3,10217
4,10218
4,10219
4,10220
4,10221
4,10222
2,10223
0,10224
0,10225
4,10226
4,10227
4,10228
3,10230
2,10231
2,10232
3,10233
3,10234
3,10235
4,10236
2,10238
4,10239
4,10240
4,10241
4,10242
3,10243
4,10244
3,10245
3,10246
3,10247
4,10248
0,10249
4,10250
4,10251
4,10252
2,10253
3,10254
3,10255
3,10256
3,10258
2,10259
4,10260
3,10261
4,10262
2,10263
2,10264
2,10268
4,10269
4,10270
0,10271
2,10272
4,10273
3,10274
4,10276
3,10277
4,10278
3,10279
4,10280
2,10281
3,10282
0,10283
4,10284
4,10285
4,10286
4,10288
3,10289
4,10290
2,10291
4,10295
2,10296
4,10297
0,10298
3,10299
3,10300
4,10301
3,10302
0,10303
2,10304
4,10305
4,10306
4,10307
3,10308
4,10309
4,10310
0,10311
0,10312
3,10313
0,10314
4,10315
4,10316
4,10317
4,10318
2,10319
2,10320
4,10321
3,10322
4,10323
4,10324
3,10325
3,10326
4,10327
4,10328
4,10329
3,10330
3,10331
4,10332
4,10333
3,10334
2,10335
2,10336
3,10337
4,10338
2,10339
3,10340
4,10341
3,10342
4,10343
2,10344
4,10345
4,10346
0,10347
3,10351
4,10352
4,10353
4,10354
4,10355
4,10356
4,10357
4,10358
4,10359
3,10360
4,10361
0,10362
4,10363
3,10364
2,10365
3,10366
2,10367
4,10368
2,10369
3,10370
4,10371
2,10373
3,10377
2,10378
3,10379
0,10380
2,10381
2,10382
2,10383
0,10384
0,10385
