label,index
0,260837
0,260838
0,260839
0,260866
0,260871
0,260880
0,260893
0,260914
0,260920
0,260926
0,261043
0,261143
0,261478
1,261530
0,261795
0,261803
1,261832
0,261876
0,261924
0,262141
1,262165
0,262168
1,262169
1,262171
1,262176
1,262246
0,262469
0,262475
1,262478
0,262486
0,262557
0,262558
0,262561
0,262571
0,262646
1,262652
0,262654
1,262664
0,262723
0,262776
1,262793
0,262796
1,262804
0,262806
1,262915
0,262958
0,262960
1,262996
0,263012
0,263032
0,263059
0,263089
1,263195
0,263198
0,263222
0,263223
0,263224
0,263228
0,263241
0,263244
0,263245
0,263251
0,263316
0,263319
1,263320
1,263426
0,263431
0,263500
1,263503
0,263513
1,263575
0,263583
1,263586
0,263627
0,263652
0,263662
0,263680
0,263681
1,263741
1,263804
0,263990
1,264025
0,264057
0,264156
0,264501
0,264502
0,264505
0,264522
1,264523
0,264556
0,264575
0,264627
0,264630
0,264690
1,264732
0,264770
0,264840
0,264855
0,264858
0,265290
0,265298
0,265333
0,265349
0,265540
1,265588
0,265595
0,265600
0,265602
1,265647
0,265648
0,265861
1,266511
0,266512
0,266522
0,266525
1,266740
0,266918
0,266959
1,267006
0,267097
0,267111
1,267142
0,267144
0,267164
1,267173
0,267177
0,267184
1,267185
1,267186
0,267198
0,267200
0,267203
0,267223
0,267229
0,267233
0,267253
0,267276
1,267301
0,267308
0,267436
1,267437
0,267447
1,267592
0,267614
0,267664
0,267683
0,267687
0,267705
1,267710
0,267720
0,267733
0,267735
0,267738
1,267770
0,267792
0,267794
0,268011
0,268024
0,268047
0,268100
0,268131
1,268133
1,268191
0,268195
0,268227
0,268233
0,268254
1,268264
0,268277
0,268365
0,268377
0,268378
0,268417
1,268456
1,268496
0,268497
1,268500
1,268512
0,268514
0,268515
0,268526
0,268541
1,268545
0,268549
0,268574
0,268593
0,268842
0,268857
0,268860
1,268872
0,268881
1,268915
1,268931
1,268933
1,269174
1,269216
0,269223
0,269825
0,269870
0,270105
0,270456
0,270561
1,270814
1,270826
0,270830
0,270965
0,270973
1,270979
0,270984
0,271022
1,271068
0,271077
0,271091
0,271112
0,271113
0,271119
1,271168
1,271169
0,271246
0,271248
0,271282
1,271302
1,271308
0,271309
0,271383
1,271399
1,271403
0,271405
0,271406
0,271441
1,271446
0,271472
0,271492
0,271493
1,271495
0,271514
1,271528
1,271576
1,271585
0,271590
0,271598
0,271600
1,271601
0,271603
0,271617
1,271618
0,271680
0,271720
0,271726
0,271730
1,271732
1,271741
0,272324
0,272345
1,272359
0,272371
0,272383
0,272389
0,272392
1,272697
0,272698
0,272707
1,272708
0,272717
0,272726
1,272731
0,272744
0,272820
0,272838
0,272871
0,272876
1,272881
1,272931
0,272942
0,272965
0,273205
0,273233
0,273244
1,273426
1,273582
0,273585
1,273652
0,273709
1,273737
0,274197
0,274202
0,274220
0,274359
0,274364
0,274568
1,274574
0,274577
0,274638
0,274647
0,274679
0,274696
1,274757
0,274877
0,274938
0,274939
1,274997
0,275026
1,275038
0,275042
0,275049
0,275169
1,275179
0,275192
0,275198
0,275284
0,275343
1,275376
0,275378
0,275384
0,275603
0,275697
0,275876
0,275946
0,275948
0,275967
0,276050
0,276051
0,276065
1,276084
0,276168
1,276175
0,276187
0,276210
0,276247
0,276284
1,276286
1,276304
0,276403
0,276420
0,276435
1,276442
0,276495
0,276603
0,276617
1,276634
0,276650
0,276672
0,276683
0,276689
0,276709
0,276710
0,276729
1,276730
0,276738
0,276759
0,276818
0,276916
0,276932
0,276933
1,276946
0,276969
0,277231
1,277261
0,277352
0,277372
0,277379
0,277392
0,277418
0,277423
1,277488
0,277490
0,277504
0,277579
0,277636
1,277802
1,278184
0,278197
0,278200
1,278201
0,278209
0,278694
0,278712
0,278770
0,278773
0,278827
0,278836
0,278840
0,278852
0,279112
1,279117
0,279173
1,279178
0,279222
0,279230
0,279258
1,279268
1,279285
0,279291
1,279316
0,279329
1,279356
1,279373
0,279379
0,279392
0,279397
1,279409
0,279434
0,279477
0,279478
1,279538
1,279581
1,279582
1,279583
0,279630
0,279722
0,279737
0,279746
0,279748
0,279787
0,279799
1,279804
0,279810
0,279819
1,279823
0,279838
0,279865
0,279872
0,279888
0,279921
1,279965
0,279973
1,279976
0,279985
0,280292
1,280354
0,280495
0,280587
0,280616
0,281302
0,281308
0,281319
0,281329
0,281330
0,281368
0,281374
1,281379
0,282309
0,282316
0,282588
0,282625
0,282631
0,282635
0,282672
1,282698
0,282702
0,282709
0,282718
1,282737
0,282808
0,282809
0,282818
0,282954
0,282955
0,282961
0,282971
0,283012
0,283022
0,283030
1,283032
0,283040
0,283364
0,283465
0,283466
0,283585
0,283586
0,283589
0,283711
1,283731
0,283736
1,283748
0,283759
1,283765
0,283778
0,283966
1,283973
0,283974
0,284009
1,284012
0,284046
1,284065
1,284080
0,284084
0,284085
0,284086
0,284097
0,284303
0,284375
0,284402
0,284419
0,284426
1,284437
0,284465
1,284471
0,284484
0,284636
1,284693
1,284706
0,284707
1,284801
0,284856
0,284857
0,284872
0,284873
0,285273
0,286073
0,286085
0,286095
0,286120
0,286121
0,286129
0,286132
1,286149
0,286180
1,286221
1,286229
0,286251
0,286320
0,286322
1,286364
0,286367
1,286455
1,286542
0,286544
0,286559
0,286593
1,286597
1,286655
1,286693
0,286718
0,286724
0,286730
0,286774
0,286783
1,286787
1,286791
0,286796
0,286797
0,286819
1,286878
