label,index
1,260833
1,260835
0,260836
3,260841
3,260844
1,260845
3,260851
1,260854
3,260857
0,260860
0,260862
0,260864
2,260865
3,260874
2,260876
2,260878
1,260879
0,260881
3,260885
3,260887
0,260888
0,260889
1,260892
3,260895
3,260897
2,260900
1,260903
1,260905
2,260911
3,260912
3,260916
3,260917
0,260919
3,260921
3,260924
2,260925
3,260927
2,260930
2,260932
1,260934
2,260935
3,260936
1,260941
0,260942
2,260943
1,260945
3,260946
3,260950
0,260951
1,260953
0,260954
0,260957
2,260958
1,260959
0,260960
0,260961
0,260963
2,260965
2,260966
0,260967
0,260971
2,260974
0,260976
2,260978
0,260980
3,260982
3,260983
2,260984
0,260985
3,260986
2,260988
2,260989
1,260991
1,260992
0,260997
1,261002
0,261004
0,261005
2,261010
2,261011
2,261013
0,261014
3,261015
3,261016
2,261021
0,261023
2,261024
2,261028
3,261029
2,261030
2,261031
3,261035
2,261036
2,261037
2,261041
0,261048
1,261052
0,261054
2,261055
0,261056
2,261058
3,261059
1,261060
1,261065
0,261066
0,261067
0,261068
0,261069
0,261070
0,261072
0,261073
2,261078
1,261080
0,261081
1,261082
3,261083
3,261084
3,261087
1,261090
0,261091
2,261092
0,261095
1,261098
1,261100
1,261102
1,261104
2,261105
3,261133
0,261134
1,261135
3,261136
1,261137
0,261139
3,261140
1,261144
3,261145
2,261146
1,261378
0,261402
3,261405
3,261406
1,261431
1,261432
1,261433
0,261434
3,261436
2,261437
3,261439
0,261442
3,261443
0,261444
3,261445
2,261447
3,261451
3,261454
3,261455
2,261458
2,261459
3,261461
2,261463
2,261468
3,261471
2,261484
0,261488
2,261489
0,261493
1,261501
1,261503
0,261504
2,261506
2,261508
2,261509
0,261515
3,261523
0,261524
1,261525
0,261526
0,261527
2,261531
1,261535
0,261536
2,261537
3,261540
2,261543
2,261545
0,261568
2,261575
0,261622
2,261657
3,261658
2,261770
2,261771
0,261772
3,261773
0,261780
1,261782
1,261783
2,261784
0,261785
1,261786
0,261787
2,261789
0,261790
2,261791
3,261801
2,261806
1,261807
1,261808
3,261812
1,261829
2,261834
3,261835
2,261836
2,261837
0,261838
2,261839
2,261840
3,261841
0,261842
2,261843
3,261844
2,261853
2,261854
0,261862
2,261864
2,261865
3,261873
2,261906
0,261943
1,261956
1,261959
0,261960
0,261962
3,261963
0,261964
1,261965
0,261966
2,261967
0,261968
0,261969
1,261970
2,262002
3,262004
3,262006
0,262020
2,262021
0,262022
3,262025
3,262026
0,262027
3,262144
1,262146
0,262150
2,262152
1,262156
0,262157
1,262161
1,262162
1,262164
0,262170
0,262172
3,262173
0,262174
3,262175
0,262177
3,262277
1,262278
3,262412
2,262414
2,262415
1,262416
1,262418
0,262421
1,262422
2,262423
2,262425
1,262426
0,262427
2,262428
1,262429
1,262430
1,262431
2,262433
2,262434
3,262438
3,262439
0,262440
0,262442
1,262443
0,262446
1,262447
3,262449
2,262451
3,262453
3,262459
1,262461
3,262462
3,262463
1,262466
1,262467
2,262468
0,262470
1,262471
1,262472
3,262479
0,262480
3,262481
2,262483
3,262484
3,262485
1,262487
1,262488
3,262489
3,262491
2,262492
3,262493
2,262494
3,262496
0,262497
2,262498
3,262500
0,262501
1,262503
1,262505
1,262507
2,262508
2,262509
3,262513
2,262515
1,262521
3,262523
2,262524
2,262525
3,262526
3,262527
3,262528
2,262529
1,262533
1,262534
0,262535
0,262537
2,262539
1,262541
0,262543
1,262544
2,262547
0,262548
2,262549
0,262553
2,262554
2,262565
3,262568
2,262573
2,262579
2,262580
2,262581
1,262582
2,262584
3,262587
2,262589
0,262593
3,262596
0,262601
3,262602
3,262639
2,262640
2,262644
3,262648
2,262649
2,262651
2,262653
2,262656
1,262658
3,262659
0,262666
0,262671
2,262677
2,262684
3,262685
1,262686
3,262687
2,262689
1,262690
3,262692
0,262696
3,262697
2,262698
3,262701
2,262703
1,262707
2,262711
2,262712
2,262713
3,262726
0,262727
0,262730
3,262732
2,262735
0,262736
1,262737
1,262739
1,262740
0,262741
3,262742
3,262744
0,262746
0,262747
0,262748
3,262749
2,262750
3,262751
2,262754
3,262756
0,262769
2,262775
2,262787
0,262789
1,262790
0,262791
1,262792
2,262794
2,262795
3,262808
1,262809
0,262810
0,262816
2,262817
3,262819
2,262825
2,262827
2,262833
1,262878
0,262884
1,262886
0,262899
1,262904
1,262905
2,262906
1,262908
3,262909
2,262910
3,262913
0,262914
2,262916
3,262917
2,262918
3,262919
1,262920
2,262922
0,262928
3,262945
3,262950
3,262953
0,262954
3,262967
0,262986
3,262988
2,262989
2,262990
3,262992
0,262997
2,263002
1,263003
0,263004
3,263006
0,263008
1,263009
3,263011
0,263014
1,263017
1,263021
0,263023
2,263024
1,263027
1,263028
1,263031
0,263033
0,263034
3,263036
3,263037
1,263040
2,263041
2,263043
0,263047
3,263049
3,263050
3,263051
3,263052
1,263053
0,263057
3,263058
0,263062
0,263064
2,263065
2,263066
2,263070
1,263073
3,263074
2,263075
2,263076
1,263077
3,263078
0,263080
3,263081
1,263082
2,263083
0,263084
2,263093
3,263094
0,263185
1,263186
2,263187
3,263193
1,263194
0,263196
0,263200
1,263202
2,263203
2,263205
1,263207
3,263208
2,263210
2,263212
0,263213
1,263214
0,263215
1,263216
3,263218
1,263219
3,263220
0,263226
0,263227
0,263229
0,263231
0,263235
2,263236
3,263240
0,263242
2,263246
2,263247
1,263248
1,263252
3,263253
2,263279
1,263280
2,263281
1,263284
0,263288
3,263290
1,263291
0,263294
0,263296
1,263297
2,263298
3,263299
3,263300
3,263302
0,263304
3,263305
3,263306
0,263309
0,263310
0,263312
3,263315
3,263318
0,263328
0,263329
0,263330
0,263332
2,263337
3,263338
2,263339
2,263341
0,263343
3,263345
2,263347
3,263352
3,263353
3,263356
2,263357
2,263360
2,263367
0,263368
2,263369
1,263370
0,263371
3,263372
3,263374
1,263375
2,263376
3,263377
3,263379
3,263381
2,263382
1,263385
1,263386
1,263391
2,263392
2,263393
3,263394
0,263396
1,263397
1,263398
2,263402
2,263404
3,263406
0,263407
0,263408
2,263409
3,263412
2,263413
0,263414
1,263415
3,263417
0,263419
2,263420
3,263421
1,263428
1,263429
0,263433
1,263434
1,263435
1,263436
3,263438
2,263439
3,263441
0,263444
0,263447
3,263449
2,263451
3,263452
0,263453
0,263455
1,263458
3,263460
0,263461
0,263476
1,263477
0,263478
0,263479
0,263480
3,263482
2,263485
2,263487
1,263493
0,263495
0,263498
0,263499
2,263501
0,263509
3,263510
3,263511
2,263512
3,263516
1,263519
2,263523
1,263524
0,263525
3,263526
0,263536
1,263538
0,263539
3,263547
3,263550
1,263551
1,263553
1,263554
1,263555
1,263556
3,263557
3,263558
0,263562
0,263564
1,263566
0,263567
1,263568
1,263570
1,263573
0,263580
0,263585
0,263590
0,263592
2,263593
0,263618
0,263619
2,263621
0,263622
0,263623
2,263626
0,263629
3,263630
0,263631
2,263632
3,263633
0,263637
2,263639
0,263640
2,263642
2,263645
2,263647
2,263648
2,263650
2,263654
2,263655
2,263664
0,263666
0,263667
3,263668
3,263679
2,263683
1,263686
