label,index
0,523381
0,523382
0,523383
4,523384
4,523385
3,523386
4,523387
0,523388
4,523389
2,523390
0,523391
1,523392
1,523393
3,523394
1,523395
1,523396
4,523397
1,523398
4,523399
1,523400
3,523401
0,523402
4,523403
3,523404
4,523405
0,523406
2,523486
2,523487
0,523488
4,523489
2,523490
2,523491
3,523492
2,523493
0,523494
2,523496
0,523497
0,523498
1,523499
3,523500
3,523501
0,523502
2,523503
1,523504
0,523505
0,523507
3,523508
4,523528
1,523529
1,523530
3,523531
4,523532
4,523533
2,523578
1,523583
2,523591
0,523592
2,523593
2,523594
4,523595
1,523596
4,523609
1,523610
4,523611
3,523612
1,523616
1,523621
2,523624
1,523625
3,523626
3,523627
1,523628
1,523630
1,523631
2,523632
2,523634
1,523635
2,523637
1,523638
0,523639
4,523641
0,523642
1,523643
1,523644
1,523645
1,523646
3,523647
3,523648
3,523649
2,523650
2,523653
1,523654
2,523655
1,523656
0,523657
4,523658
4,523659
3,523660
2,523662
2,523663
2,523664
3,523665
1,523666
2,523667
1,523668
0,523669
0,523670
2,523671
3,523672
0,523673
0,523674
1,523675
4,523676
1,523677
1,523679
1,523680
4,523681
0,523683
2,523684
1,523685
1,523686
2,523687
2,523689
4,523690
0,523691
3,523692
2,523693
1,523694
3,523695
2,523696
1,523697
1,523698
1,523699
4,523700
0,523701
4,523702
3,523703
4,523704
1,523705
4,523706
4,523707
4,523708
0,523709
0,523710
2,523711
3,523712
4,523714
3,523715
4,523716
0,523717
0,523718
4,523719
2,523720
2,523721
2,523722
0,523723
4,523724
0,523725
0,523726
1,523727
4,523728
0,523729
1,523730
3,523731
1,523732
0,523733
0,523734
2,523735
1,523736
4,523737
1,523738
0,523739
2,523740
3,523741
1,523742
4,523743
1,523744
3,523745
3,523746
3,523747
3,523748
4,523749
3,523750
3,523751
0,523752
4,523753
4,523754
2,523755
1,523756
0,523757
1,523758
4,523760
1,523761
0,523762
1,523763
2,523764
0,523765
1,523766
1,523767
1,523768
3,523769
1,523770
2,523772
4,523773
2,523775
