label,index
0,1044510
1,1044534
0,1044550
0,1044609
1,1044619
1,1044865
0,1044934
1,1045049
1,1045123
1,1045208
0,1045221
1,1045260
0,1045466
0,1045500
1,1045519
1,1045585
0,1045735
1,1045767
0,1045799
0,1046059
0,1046383
0,1046396
1,1046491
0,1046548
0,1046686
1,1046701
1,1046910
0,1046918
0,1046953
1,1047085
0,1047164
0,1047221
0,1047325
0,1047375
0,1047388
0,1047544
0,1047748
0,1047811
1,1047979
0,1048012
0,1048029
0,1048079
0,1048083
0,1048178
0,1048283
0,1048356
0,1048505
1,1048920
1,1049040
0,1049104
1,1049192
0,1049217
1,1049283
0,1049306
1,1049327
0,1049612
1,1049772
0,1049782
1,1049874
0,1049951
0,1050058
1,1050123
0,1050173
1,1050277
1,1050360
0,1050455
0,1050470
0,1050610
1,1050706
0,1050908
0,1050946
1,1050966
1,1051122
1,1051148
0,1051231
0,1051343
0,1051395
1,1051920
0,1051983
1,1052066
0,1052122
0,1052179
0,1052287
1,1052352
0,1052601
1,1052643
0,1052725
0,1053014
1,1053200
0,1053343
0,1053351
1,1053366
0,1053375
0,1053376
0,1053378
0,1053464
0,1053476
1,1053489
0,1053491
1,1053517
1,1053531
0,1053542
1,1053604
0,1053609
1,1053626
0,1053648
1,1053665
0,1053669
0,1053684
1,1053715
0,1053717
0,1053723
1,1053733
0,1053740
0,1053767
1,1053822
0,1053824
0,1053862
0,1053863
0,1053900
1,1053958
1,1053960
0,1054050
0,1054127
0,1054281
1,1054285
0,1054300
1,1054320
0,1054332
0,1054333
0,1054342
1,1054348
0,1054357
1,1054367
0,1054379
0,1054400
0,1054404
0,1054414
0,1054436
0,1054450
0,1054460
1,1054485
0,1054562
0,1054566
0,1054569
0,1054572
0,1054593
0,1054600
1,1054625
0,1054643
0,1054674
1,1054698
0,1054719
0,1054796
1,1054810
1,1054839
1,1054877
0,1054915
0,1055377
0,1055428
0,1055714
0,1056543
0,1057155
1,1058383
0,1059697
1,1059757
1,1059795
0,1059798
1,1059799
0,1059858
1,1059911
1,1060050
1,1060098
0,1060112
0,1060275
1,1060403
0,1060525
1,1061054
1,1061059
0,1061079
0,1061088
0,1061128
1,1061130
0,1061137
1,1061185
0,1061209
0,1061210
1,1061223
1,1061262
0,1061265
1,1061483
1,1061493
0,1061541
0,1061610
1,1061774
0,1061786
1,1061863
1,1061900
1,1061968
0,1061993
0,1061999
1,1062042
1,1062057
0,1062114
1,1062142
0,1062146
1,1062244
1,1062268
0,1062294
0,1062359
1,1062503
0,1062504
1,1062564
1,1062766
1,1062965
0,1063062
0,1063134
0,1063136
1,1063165
0,1063208
1,1063328
0,1063375
0,1063513
0,1063600
0,1063714
1,1063769
0,1063850
1,1063851
0,1063887
0,1063889
0,1063914
1,1063918
0,1064088
0,1064100
0,1064116
1,1064140
0,1064301
1,1064584
1,1064588
1,1064598
0,1064611
0,1064621
0,1064636
1,1064643
1,1064835
0,1064865
0,1064879
1,1064883
0,1064953
0,1065287
0,1065289
0,1065353
1,1065386
1,1065398
0,1065401
0,1065421
1,1065425
1,1065430
0,1065437
0,1065531
0,1065543
0,1065561
0,1065565
0,1065568
0,1065590
1,1065609
1,1065636
1,1065696
0,1065981
0,1065984
0,1065990
0,1066009
0,1066165
1,1066442
0,1066497
0,1066508
0,1066556
1,1066655
0,1066656
0,1066666
0,1066676
1,1066678
0,1066689
0,1066693
0,1066713
0,1066769
1,1066792
0,1066834
0,1066845
1,1067148
0,1067156
0,1067341
1,1067353
1,1067355
0,1067363
1,1067382
0,1067402
1,1067406
0,1067437
0,1067540
1,1067653
1,1067819
1,1067879
0,1067884
0,1067903
0,1068111
1,1068115
1,1068117
0,1068141
0,1068157
1,1068274
1,1068292
0,1068298
1,1068440
0,1068443
0,1068450
0,1068520
0,1068623
0,1068717
0,1068719
0,1068731
0,1068740
1,1068765
0,1068939
1,1069082
1,1069102
0,1069110
0,1069112
1,1069221
0,1069252
1,1069253
0,1069255
0,1069263
0,1069264
0,1069370
0,1069475
0,1069486
1,1069601
0,1069673
1,1069680
1,1070065
1,1070075
1,1070089
1,1070091
1,1070151
1,1070153
1,1070166
1,1070199
