label,index
4,0
1,1
1,10
2,100
5,1000
4,1001
2,1002
5,1003
2,1004
0,1005
0,1006
5,1007
1,1008
5,1009
1,101
3,1010
3,1011
0,1012
1,1013
5,1014
0,1015
5,1016
0,1017
5,1018
5,1019
0,102
1,1020
2,1021
3,1022
0,1023
1,1024
5,1025
3,1026
5,1027
5,1028
0,1029
2,103
0,1030
5,1031
1,1032
5,1033
5,1034
0,1035
1,1036
5,1037
1,1038
2,1039
5,104
1,1040
2,1041
5,1042
5,1043
2,1044
1,1045
0,1046
5,1047
5,1048
2,1049
1,105
5,1050
2,1051
1,1052
0,1053
5,1054
3,1055
5,1056
1,1057
5,1058
0,1059
2,106
5,1060
2,1061
5,1062
5,1063
1,1064
1,1065
1,1066
5,1067
0,1068
5,1069
1,107
0,1070
5,1071
5,1072
1,1073
5,1074
1,1075
2,1076
1,1077
2,1078
2,1079
2,108
1,1080
5,1081
0,1082
5,1083
0,1084
1,1085
5,1086
2,1087
2,1088
2,1089
1,109
1,1090
2,1091
2,1092
2,1093
0,1094
1,1095
5,1096
5,1097
0,1098
1,1099
2,11
5,110
1,1100
1,1101
3,1102
0,1103
0,1104
0,1105
5,1106
5,1107
5,1108
1,1109
5,111
0,1110
3,1111
5,1112
4,1113
0,1114
5,1115
5,1116
1,1117
2,1118
1,1119
5,112
2,1120
2,1121
5,1122
5,1123
3,1124
0,1125
1,1126
2,1127
1,1128
2,1129
0,113
1,1130
0,1131
5,1132
1,1133
0,1134
1,1135
1,1136
5,1137
1,1138
1,1139
0,114
2,1140
1,1141
2,1142
0,1143
5,1144
2,1145
1,1146
0,1147
2,1148
1,1149
1,115
5,1150
1,1151
5,1152
2,1153
5,1154
2,1155
1,1156
5,1157
2,1158
0,1159
1,116
1,1160
1,1161
0,1162
2,1163
0,1164
2,1165
1,1166
1,1167
5,1168
1,1169
1,117
1,1170
3,1171
1,1172
1,1173
0,1174
0,1175
1,1176
0,1177
1,1178
1,1179
1,118
1,1180
0,1181
1,1182
0,1183
1,1184
5,1185
2,1186
5,1187
2,1188
5,1189
1,119
5,1190
0,1191
1,1192
0,1193
3,1194
3,1195
0,1196
0,1197
0,1198
0,1199
1,12
2,120
3,1200
0,1201
0,1202
5,1203
5,1204
2,1205
3,1206
5,1207
5,1208
2,1209
2,121
5,1210
2,1211
1,1212
1,1213
2,1214
1,1215
2,1216
5,1217
2,1218
5,1219
1,122
2,1220
5,1221
2,1222
5,1223
4,1224
0,1225
2,1226
1,1227
3,1228
0,1229
2,123
1,1230
1,1231
0,1232
3,1233
5,1234
2,1235
2,1236
0,1237
5,1238
0,1239
2,124
1,1240
2,1241
1,1242
2,1243
0,1244
1,1245
5,1246
1,1247
5,1248
5,1249
1,125
3,1250
1,1251
2,1252
5,1253
5,1254
5,1255
0,1256
2,1257
1,1258
0,1259
1,126
2,1260
5,1261
5,1262
5,1263
3,1264
1,1265
1,1266
0,1267
5,1268
0,1269
1,127
2,1270
5,1271
2,1272
3,1273
0,1274
5,1275
5,1276
5,1277
5,1278
1,1279
0,128
0,1280
5,1281
1,1282
3,1283
5,1284
3,1285
2,1286
2,1287
5,1288
5,1289
2,129
5,1290
1,1291
1,1292
1,1293
1,1294
1,1295
5,1296
1,1297
2,1298
1,1299
2,13
0,130
2,1300
5,1301
0,1302
2,1303
5,1304
2,1305
1,1306
3,1307
5,1308
5,1309
2,131
5,1310
5,1311
3,1312
2,1313
0,1314
5,1315
1,1316
2,1317
1,1318
2,1319
1,132
3,1320
5,1321
0,1322
5,1323
1,1324
5,1325
3,1326
3,1327
2,1328
0,1329
1,133
2,1330
0,1331
5,1332
0,1333
5,1334
4,1335
1,1336
2,1337
5,1338
2,1339
2,134
5,1340
2,1341
5,1342
2,1343
0,1344
3,1345
3,1346
0,1347
3,1348
3,1349
1,135
1,1350
5,1351
5,1352
1,1353
5,1354
2,1355
1,1356
2,1357
0,1358
1,1359
0,136
2,1360
0,1361
3,1362
0,1363
3,1364
0,1365
5,1366
2,1367
2,1368
1,1369
2,137
1,1370
1,1371
5,1372
5,1373
2,1374
1,1375
2,1376
0,1377
0,1378
1,1379
1,138
0,1380
5,1381
5,1382
5,1383
1,1384
0,1385
0,1386
0,1387
5,1388
0,1389
2,139
1,1390
2,1391
1,1392
1,1393
1,1394
5,1395
2,1396
0,1397
5,1398
0,1399
1,14
1,140
0,1400
2,1401
1,1402
1,1403
2,1404
0,1405
1,1406
0,1407
3,1408
5,1409
2,141
0,1410
1,1411
3,1412
1,1413
5,1414
5,1415
2,1416
0,1417
5,1418
5,1419
3,142
1,1420
1,1421
1,1422
2,1423
0,1424
3,1425
2,1426
3,1427
0,1428
0,1429
1,143
3,1430
1,1431
3,1432
0,1433
0,1434
0,1435
3,1436
5,1437
1,1438
1,1439
1,144
