label,index
2,1000
3,10001
3,10002
3,10003
2,10004
3,10005
1,10006
3,10007
3,10008
4,10009
4,1001
4,10010
2,10011
1,10012
3,10013
0,10014
1,10015
3,10016
3,10017
3,10018
4,10019
1,10020
3,10021
2,10022
2,10023
1,10024
1,10025
1,10026
4,10027
1,10029
4,10030
0,10031
0,10032
1,10034
3,10035
3,10036
3,10037
3,10038
1,10039
2,10040
2,10041
1,10042
1,10043
1,10044
3,10045
2,10046
0,10047
1,10048
1,10049
1,10050
1,10051
2,10052
2,10053
4,10054
1,10055
3,10056
4,10057
1,10058
3,10059
3,1006
3,10060
4,10061
2,10062
4,10063
2,10064
1,10065
2,10066
2,1007
0,10071
0,10072
3,10073
1,10074
3,10075
3,10076
3,10077
2,10078
3,10079
1,1008
1,10080
1,10081
1,10082
3,10083
1,10084
3,10085
1,10086
1,10089
3,1009
2,10090
1,10091
1,10093
3,10094
2,10095
2,10096
2,10097
3,10098
1,10099
2,1010
1,10100
3,10101
1,10102
3,10103
3,10104
2,10105
4,10106
2,10107
3,10108
1,10109
1,10111
1,10112
1,10113
1,10114
1,10115
3,10116
2,10117
1,10118
1,10119
1,1012
1,10120
2,10121
2,10122
1,10123
3,10124
1,10125
3,10126
3,10127
1,10128
0,10129
1,1013
1,10130
1,10131
2,10132
2,10133
3,10134
3,10135
4,10136
2,10137
1,1014
3,10143
3,10144
2,10145
3,10146
3,10147
2,10148
3,10149
4,1015
0,10150
1,10151
3,10152
0,10153
4,10154
3,10155
2,10156
1,10157
1,10158
3,10159
3,1016
1,10160
1,10161
3,10163
4,10164
1,10166
0,10167
3,10168
3,10169
0,10170
3,10171
3,10172
3,10173
2,10174
4,10175
1,10176
1,10177
1,10178
1,10179
2,1018
1,10180
1,10181
1,10182
2,10183
1,10184
1,10185
3,10186
4,10187
1,10188
3,10189
2,1019
1,10190
1,10191
2,10192
3,10193
1,10194
1,10195
1,10196
1,10197
1,10198
4,10199
3,1020
3,10200
4,10201
1,10202
3,10203
1,10204
4,10205
3,10206
3,10207
3,10208
4,10209
1,1021
2,10210
3,10211
3,10212
3,10213
3,10214
3,10215
3,10216
3,10217
3,10218
3,10219
1,1022
3,10220
3,10221
3,10222
2,10223
3,10224
3,10225
1,10226
1,10227
3,10228
2,1023
4,10230
2,10231
2,10232
3,10233
4,10234
3,10235
3,10236
2,10238
3,10239
3,1024
1,10240
3,10241
3,10242
1,10243
1,10244
3,10245
3,10246
4,10247
3,10248
4,10249
1,10250
3,10251
1,10252
2,10253
1,10254
4,10255
1,10256
4,10258
1,10259
3,10260
4,10261
3,10262
2,10263
2,10264
2,10268
1,10269
2,1027
3,10270
0,10271
2,10272
3,10273
4,10274
3,10276
3,10277
3,10278
3,10279
1,1028
3,10280
2,10281
3,10282
0,10283
3,10284
1,10285
3,10286
3,10288
3,10289
4,1029
3,10290
2,10291
3,10295
2,10296
0,10297
0,10298
3,10299
1,1030
3,10300
3,10301
4,10302
3,10303
2,10304
3,10305
3,10306
3,10307
3,10308
3,10309
4,1031
3,10310
3,10311
0,10312
3,10313
0,10314
3,10315
3,10316
1,10317
3,10318
2,10319
1,1032
2,10320
3,10321
3,10322
1,10323
3,10324
3,10325
3,10326
3,10327
1,10328
3,10329
3,10330
4,10331
3,10332
1,10333
1,10334
2,10335
2,10336
3,10337
3,10338
2,10339
1,1034
3,10340
1,10341
4,10342
3,10343
2,10344
3,10345
3,10346
0,10347
2,1035
3,10351
3,10352
3,10353
3,10354
3,10355
3,10356
3,10357
3,10358
3,10359
2,1036
3,10360
1,10361
0,10362
1,10363
3,10364
1,10365
3,10366
2,10367
1,10368
1,10369
1,1037
4,10370
3,10371
2,10373
4,10377
1,10378
3,10379
1,1038
0,10380
2,10381
1,10382
2,10383
0,10384
3,10385
2,10386
0,10387
0,10388
2,10389
2,1039
0,10390
3,10391
3,10392
3,10393
3,10394
4,10395
3,10396
3,10397
2,10398
3,10399
2,104
4,1040
3,10400
3,10401
3,10402
3,10403
4,10404
3,10405
4,10406
3,10407
3,10408
3,10409
1,10410
2,10411
3,10412
3,10413
0,10414
3,10415
2,10416
3,10418
3,10419
1,1042
3,10420
3,10421
0,10422
3,10423
3,10424
2,10425
2,10426
3,10427
2,10428
1,10429
2,1043
2,10430
3,10431
3,10432
3,10433
3,10434
3,10435
3,10437
3,10438
2,10439
1,1044
3,10440
3,10441
3,10442
4,10443
2,10444
2,1045
3,10451
3,10453
3,10454
3,10455
3,10456
3,10457
1,10458
1,10459
1,1046
1,10460
3,10461
2,10462
3,10463
3,10464
3,10465
3,10466
3,10467
3,10468
2,10469
4,1047
3,10470
2,10471
3,10472
3,10474
3,10475
2,10476
3,10477
3,10478
1,10479
2,1048
0,10480
3,10481
4,10482
0,10483
3,10484
0,10485
4,10486
0,10487
3,10488
3,10489
1,1049
3,10490
0,10491
2,10493
3,10494
3,10495
4,10496
3,10497
3,10498
3,10499
1,1050
4,10500
2,10501
3,10502
3,10503
3,10504
3,10505
3,10506
0,10507
0,10508
3,10509
4,10510
2,10511
2,10512
4,10513
1,10515
3,10516
1,10517
2,10518
1,10519
1,1052
3,10520
3,10521
3,10522
3,10523
1,10524
3,10525
2,10526
3,10527
2,10528
0,10529
2,1053
0,10530
3,10531
3,10532
2,10533
0,10534
0,10535
4,10536
3,10537
3,10538
0,10539
1,1054
0,10540
0,10541
0,10542
0,10543
3,10544
4,10545
4,10546
4,10547
0,10548
4,10549
2,1055
3,10550
3,10551
3,10552
3,10553
0,10554
3,10555
3,10556
3,10557
3,10558
3,10559
1,1056
3,10560
3,10561
3,10562
2,10563
3,10564
3,10565
3,10566
3,10567
2,10568
3,10569
2,1057
2,10570
3,10571
3,10572
4,10573
2,10574
3,10575
4,10576
4,10577
1,10578
3,10579
2,1058
3,10580
3,10581
2,10582
1,10583
1,10584
1,10585
1,10586
1,10587
1,10588
1,10589
2,1059
0,10590
0,10591
1,10592
3,10593
1,10594
3,10595
3,10596
4,10597
4,10598
3,10599
1,106
1,1060
3,10601
3,10602
4,10603
1,10604
3,10605
2,10606
4,10607
3,10608
4,10609
4,1061
3,10610
3,10611
3,10612
1,10613
3,10614
3,10615
3,10616
3,10617
3,10618
4,10619
1,1062
3,10620
3,10621
2,10622
1,10623
1,10624
3,10625
3,10626
3,10627
3,10628
0,10629
1,1063
0,10630
0,10631
3,10632
0,10633
0,10634
4,10635
4,10636
1,10637
4,10638
3,10639
4,1064
1,10640
3,10641
3,10642
1,10643
0,10644
4,10645
3,10646
0,10647
3,10648
3,10649
3,10650
0,10651
0,10652
0,10653
3,10654
2,10655
3,10656
3,10657
3,10658
3,10659
2,10660
4,10661
4,10662
3,10663
3,10664
2,10665
4,10666
0,10667
3,10668
3,10669
1,1067
3,10670
3,10671
3,10672
3,10673
2,10674
3,10675
3,10676
1,10677
3,10678
1,10679
4,1068
3,10680
3,10681
4,10682
3,10683
1,10684
3,10685
4,10686
3,10687
3,10688
3,10689
1,1069
3,10690
1,10691
3,10692
3,10693
1,10694
2,10695
3,10696
3,10697
3,10699
2,107
0,1070
2,10704
4,10705
4,10706
3,10707
0,10708
2,10709
2,10710
2,10711
4,10712
0,10713
3,10714
1,10715
0,10716
1,10717
3,10718
3,10719
3,10720
3,10721
3,10722
4,10723
1,10724
3,10725
0,10726
0,10727
0,10728
1,10729
1,1073
3,10730
3,10731
3,10732
3,10733
3,10734
3,10735
3,10736
3,10737
2,10738
0,10739
1,1074
0,10740
1,10742
3,10743
0,10744
2,10745
2,10746
3,10747
4,10748
0,10749
1,1075
3,10750
3,10751
3,10752
4,10753
3,10754
4,10755
0,10756
3,10757
3,10758
3,10759
1,10760
3,10761
0,10762
0,10763
0,10764
3,10765
0,10766
0,10767
0,10768
3,10769
1,1077
4,10772
3,10773
4,10774
3,10775
3,10776
2,10777
4,10778
2,10779
1,1078
4,10780
1,10781
1,10782
3,10783
2,10784
2,10785
3,10788
0,10789
1,1079
2,10790
4,10791
3,10792
0,10793
3,10794
3,10795
3,10796
3,10797
3,10798
4,10799
2,108
0,1080
3,10800
3,10801
3,10802
0,10803
3,10804
4,10805
3,10806
4,10807
1,10809
2,1081
3,10810
1,10811
0,10813
1,10814
3,10815
2,10816
3,10817
3,10818
1,10821
2,10824
3,10825
3,10826
1,10827
1,10828
2,10829
1,1083
4,10830
0,10831
2,10832
3,10833
2,10834
3,10835
3,10836
3,10837
3,10838
0,10839
2,1084
3,10840
3,10841
0,10842
3,10843
3,10844
1,10845
2,10846
4,10847
3,10848
3,10849
1,1085
3,10850
3,10851
3,10852
3,10853
0,10854
2,10855
3,10856
3,10858
3,10859
1,1086
2,10860
0,10861
3,10862
3,10863
3,10864
3,10865
1,10866
4,10867
1,10868
0,10869
2,1087
3,10870
0,10871
2,10872
3,10873
3,10875
3,10876
0,10877
0,10878
3,10879
1,1088
2,10880
2,10881
3,10882
1,10883
1,10884
1,10885
2,10886
3,10887
3,10888
3,10889
2,1089
3,10890
3,10891
3,10892
1,10893
3,10894
3,10895
0,10896
3,10897
3,10898
3,10899
1,109
3,10900
0,10901
3,10902
3,10903
3,10904
0,10905
3,10906
3,10907
1,10908
0,10909
1,1091
3,10910
0,10911
0,10912
3,10913
3,10914
1,10915
3,10916
2,10917
0,10918
3,10919
1,1092
2,10920
3,10921
4,10922
3,10923
4,10924
2,10925
2,10926
3,10927
3,10928
1,10929
0,10930
0,10931
3,10932
0,10933
3,10934
3,10935
3,10936
3,10937
3,10938
3,10939
3,10940
3,10941
3,10942
3,10943
3,10944
3,10945
0,10948
3,10949
0,10952
3,10954
3,10955
3,10956
0,10957
3,10958
3,10959
3,10960
3,10961
3,10962
3,10963
3,10964
2,10965
4,10966
3,10967
4,10968
0,10969
1,1097
0,10970
4,10971
3,10972
3,10973
3,10974
3,10975
3,10976
3,10977
3,10978
3,10979
3,10980
3,10981
3,10982
3,10983
3,10984
3,10985
3,10986
0,10987
4,10988
3,10989
1,1099
4,10990
3,10991
3,10992
0,10993
0,10994
3,10995
3,10996
3,10997
2,10998
3,10999
1,110
1,1100
3,11000
1,11001
3,11002
3,11003
0,11004
3,11005
3,11006
3,11007
4,11008
0,11009
1,1101
3,11010
3,11011
2,11012
3,11013
3,11014
3,11015
3,11016
2,11017
2,11018
4,11019
2,1102
3,11020
0,11021
3,11022
3,11023
2,11024
3,11025
3,11026
4,11027
3,11028
3,11029
3,1103
2,11030
3,11031
0,11032
3,11033
4,11034
2,11035
0,11036
0,11037
0,11038
3,11039
1,1104
4,11040
3,11041
3,11042
3,11043
3,11044
3,11045
3,11046
3,11047
3,11048
0,11049
4,1105
3,11050
3,11051
3,11052
3,11053
3,11054
1,11055
3,11056
3,11057
1,11058
3,11059
1,1106
4,11060
3,11061
2,11062
3,11063
0,11064
2,11065
3,11066
3,11067
3,11068
3,11069
1,1107
3,11070
4,11071
0,11072
0,11073
3,11074
1,11075
0,11076
1,11077
3,11078
3,11079
1,1108
3,11080
0,11081
3,11082
3,11083
3,11084
3,11085
3,11088
3,11089
1,1109
3,11090
4,11091
2,11092
3,11093
3,11094
3,11095
3,11098
3,11099
1,111
3,1110
3,11100
3,11101
1,11102
2,11103
1,11104
3,11105
3,11106
3,11107
0,11108
3,11109
1,1111
0,11110
0,11112
3,11113
3,11114
3,11115
1,11116
4,11117
3,11118
3,11119
3,11120
1,11121
2,11122
3,11123
3,11124
0,11125
0,11126
0,11127
3,11128
3,11129
3,11130
2,11131
3,11132
3,11133
3,11134
3,11135
1,11136
3,11137
1,11138
4,11139
4,1114
4,11140
3,11141
3,11142
3,11143
3,11144
0,11145
3,11146
0,11147
3,11148
3,11149
3,1115
3,11150
0,11151
0,11152
1,11154
0,11155
3,11156
2,11157
3,11158
0,11159
0,11160
4,11161
3,11162
2,11163
3,11164
3,11165
1,11166
0,11167
2,11168
1,11169
3,11170
3,11171
3,11172
3,11173
0,11174
3,11175
4,11176
0,11177
3,11178
1,11179
3,11180
1,11181
3,11182
3,11183
3,11184
3,11185
3,11186
3,11187
4,11188
3,11189
0,11190
2,11191
3,11192
4,11193
3,11194
3,11195
3,11196
0,11197
3,11198
4,11199
2,112
3,11200
3,11201
1,11202
4,11203
4,11204
4,11205
3,11206
3,11208
3,11209
