objectID,footprint,area,height,label,data,index
167,1968.0,9111.050115625,24.46,0,../data/data_root/data00/167.pt,167
172,2549.0,6475.41821875,18.03,0,../data/data_root/data00/172.pt,172
233,2032.0,7186.4181,24.35,0,../data/data_root/data00/233.pt,233
234,3011.0,29524.49811464844,31.69,0,../data/data_root/data00/234.pt,234
252,2445.0,4816.2669875,21.69,0,../data/data_root/data00/252.pt,252
329,2318.0,6458.4367,15.76,0,../data/data_root/data00/329.pt,329
349,2252.0,6440.417653125,18.23,0,../data/data_root/data00/349.pt,349
448,2871.0,4537.1453,22.54,0,../data/data_root/data00/448.pt,448
469,2728.0,9988.751065625,18.8,0,../data/data_root/data00/469.pt,469
590,2446.0,6420.51265,22.28,0,../data/data_root/data00/590.pt,590
594,2927.0,6451.252809375,37.24,0,../data/data_root/data00/594.pt,594
604,1898.0,6789.38521875,23.92,0,../data/data_root/data00/604.pt,604
620,2469.0,6427.043215625,18.72,0,../data/data_root/data00/620.pt,620
623,1723.0,10911.328784375,21.19,0,../data/data_root/data00/623.pt,623
627,1947.0,3351.283225,14.38,0,../data/data_root/data00/627.pt,627
630,2316.0,6810.710621875,17.08,0,../data/data_root/data00/630.pt,630
651,2143.0,6751.513651367188,20.9,0,../data/data_root/data00/651.pt,651
695,2246.0,170215.32,23.74,0,../data/data_root/data00/695.pt,695
700,1859.0,6417.568759375,18.12,0,../data/data_root/data00/700.pt,700
705,1787.0,6691.95536875,23.48,0,../data/data_root/data00/705.pt,705
727,1495.0,2461.45055,16.56,0,../data/data_root/data00/727.pt,727
749,1857.0,4583.2385,21.03,0,../data/data_root/data00/749.pt,749
764,1880.0,6101.4619015625,26.99,0,../data/data_root/data00/764.pt,764
773,2147.0,3150.0045,32.25,0,../data/data_root/data00/773.pt,773
791,2407.0,6503.80889375,23.79,0,../data/data_root/data00/791.pt,791
799,2123.0,4401.00516875,16.59,0,../data/data_root/data00/799.pt,799
808,1829.0,6780.03,18.75,0,../data/data_root/data00/808.pt,808
835,1910.0,12384.6422,18.4,0,../data/data_root/data00/835.pt,835
843,2546.0,6481.20993125,19.37,0,../data/data_root/data00/843.pt,843
844,2405.0,6503.15066875,14.92,0,../data/data_root/data00/844.pt,844
852,2642.0,6769.46895625,14.93,0,../data/data_root/data00/852.pt,852
853,2363.0,6779.2242375,13.87,0,../data/data_root/data00/853.pt,853
869,2914.0,9498.6929,25.24,0,../data/data_root/data00/869.pt,869
891,2032.0,8519.4774625,21.84,0,../data/data_root/data00/891.pt,891
904,1851.0,7134.12489140625,21.4,0,../data/data_root/data00/904.pt,904
905,2878.0,5242.6089375,22.75,0,../data/data_root/data00/905.pt,905
918,2024.0,6294.654559375,24.69,0,../data/data_root/data00/918.pt,918
920,2217.0,6695.36495,21.56,0,../data/data_root/data00/920.pt,920
921,2133.0,6225.9815125,22.03,0,../data/data_root/data00/921.pt,921
929,2328.0,6098.036271875,16.64,0,../data/data_root/data00/929.pt,929
1006,2514.0,4250.56835,21.42,0,../data/data_root/data00/1006.pt,1006
1009,2055.0,8164.322676171875,25.28,0,../data/data_root/data00/1009.pt,1009
1016,3054.0,5406.599203125,21.41,0,../data/data_root/data00/1016.pt,1016
1020,1522.0,3327.481009375,20.98,0,../data/data_root/data00/1020.pt,1020
1024,3003.0,6780.569471875,22.2,0,../data/data_root/data00/1024.pt,1024
1103,1858.0,4732.266371875,23.03,0,../data/data_root/data00/1103.pt,1103
1110,1732.0,5202.013528125,13.9,0,../data/data_root/data00/1110.pt,1110
1115,2942.0,4018.5049375,14.98,0,../data/data_root/data00/1115.pt,1115
1148,1575.0,2729.8735,15.88,0,../data/data_root/data00/1148.pt,1148
1161,2213.0,6789.890290625,16.34,0,../data/data_root/data00/1161.pt,1161
1180,2422.0,4003.36795,15.97,0,../data/data_root/data00/1180.pt,1180
1183,1297.0,8433.961746875,19.09,0,../data/data_root/data00/1183.pt,1183
1188,2264.0,5014.978609375,24.57,0,../data/data_root/data00/1188.pt,1188
1217,1655.0,4424.553,21.36,0,../data/data_root/data00/1217.pt,1217
1258,1705.0,2102.32636015625,17.74,0,../data/data_root/data00/1258.pt,1258
1270,1433.0,9862.568803125,23.51,0,../data/data_root/data00/1270.pt,1270
1291,1665.0,6563.3983,22.44,0,../data/data_root/data00/1291.pt,1291
1309,2153.0,2594.78056875,20.44,0,../data/data_root/data00/1309.pt,1309
1315,3416.0,4536.17614375,21.54,0,../data/data_root/data00/1315.pt,1315
1321,2480.0,3222.58090625,19.84,0,../data/data_root/data00/1321.pt,1321
1335,1725.0,6768.970390625,13.91,0,../data/data_root/data00/1335.pt,1335
1337,2342.0,6978.14750625,17.56,0,../data/data_root/data00/1337.pt,1337
1346,3090.0,7928.822903125,22.87,0,../data/data_root/data00/1346.pt,1346
1353,2376.0,14868.337175,26.06,0,../data/data_root/data00/1353.pt,1353
1372,2152.0,1242.8946,15.52,0,../data/data_root/data00/1372.pt,1372
1376,2475.0,5290.034188671875,24.7,0,../data/data_root/data00/1376.pt,1376
1389,1914.0,4013.1488625,22.13,0,../data/data_root/data00/1389.pt,1389
1392,1879.0,6446.9124,19.7,0,../data/data_root/data00/1392.pt,1392
1398,2065.0,8021.639171875,30.18,0,../data/data_root/data00/1398.pt,1398
1404,1861.0,7444.397825,23.41,0,../data/data_root/data00/1404.pt,1404
1412,2360.0,4010.386940625,23.12,0,../data/data_root/data00/1412.pt,1412
1430,2966.0,2535.170653125,27.87,0,../data/data_root/data00/1430.pt,1430
1461,2097.0,7914.8768125,27.63,0,../data/data_root/data00/1461.pt,1461
1467,2715.0,3747.98805,25.43,0,../data/data_root/data00/1467.pt,1467
1490,2204.0,3295.680084375,22.51,0,../data/data_root/data00/1490.pt,1490
1492,2425.0,8267.9658,22.86,0,../data/data_root/data00/1492.pt,1492
1494,2466.0,8273.32636875,21.8,0,../data/data_root/data00/1494.pt,1494
1500,3241.0,8048.624390625,25.3,0,../data/data_root/data00/1500.pt,1500
1532,2097.0,8002.37995,24.0,0,../data/data_root/data00/1532.pt,1532
1571,2130.0,7233.572778125,22.75,0,../data/data_root/data00/1571.pt,1571
1581,1795.0,7502.499,10.74,0,../data/data_root/data00/1581.pt,1581
1583,3362.0,5028.755759375,22.96,0,../data/data_root/data00/1583.pt,1583
1608,2108.0,3138.001190625,24.1,0,../data/data_root/data00/1608.pt,1608
1616,2176.0,7387.891525,20.87,0,../data/data_root/data00/1616.pt,1616
1622,2345.0,3650.864215234375,16.95,0,../data/data_root/data00/1622.pt,1622
1633,3137.0,5038.51685,30.19,0,../data/data_root/data00/1633.pt,1633
1647,3458.0,2739.968090234375,24.19,0,../data/data_root/data00/1647.pt,1647
1673,2228.0,8263.188159375,20.6,0,../data/data_root/data00/1673.pt,1673
1694,3882.0,8231.6164,24.32,0,../data/data_root/data00/1694.pt,1694
1695,3100.0,4134.4812,23.15,0,../data/data_root/data00/1695.pt,1695
1701,2719.0,8293.049875,28.15,0,../data/data_root/data00/1701.pt,1701
1717,1090.0,4839.517903125,13.5,0,../data/data_root/data00/1717.pt,1717
1746,2210.0,156219.33555,24.54,0,../data/data_root/data00/1746.pt,1746
1753,2046.0,6309.9804875,25.59,0,../data/data_root/data00/1753.pt,1753
1757,2131.0,6771.288565625,14.34,0,../data/data_root/data00/1757.pt,1757
1770,2895.0,4198.775409375,23.03,0,../data/data_root/data00/1770.pt,1770
1773,2441.0,7409.72405,29.29,0,../data/data_root/data00/1773.pt,1773
1786,1786.0,7137.882259375,31.06,0,../data/data_root/data00/1786.pt,1786
1787,2692.0,7676.750225,22.13,0,../data/data_root/data00/1787.pt,1787
1816,3334.0,8448.329471875,24.22,0,../data/data_root/data00/1816.pt,1816
1844,1967.0,6563.3983,25.61,0,../data/data_root/data00/1844.pt,1844
1855,2230.0,14394.62245,17.76,0,../data/data_root/data00/1855.pt,1855
1858,2836.0,7184.17815,23.97,0,../data/data_root/data00/1858.pt,1858
