label,data
2,../data/data_root/data00/10014.pt
2,../data/data_root/data00/10031.pt
2,../data/data_root/data00/10032.pt
2,../data/data_root/data00/10047.pt
2,../data/data_root/data00/10071.pt
2,../data/data_root/data00/10072.pt
2,../data/data_root/data00/10129.pt
2,../data/data_root/data00/10150.pt
2,../data/data_root/data00/10153.pt
2,../data/data_root/data00/10167.pt
2,../data/data_root/data00/10170.pt
2,../data/data_root/data00/10271.pt
2,../data/data_root/data00/10283.pt
2,../data/data_root/data00/10297.pt
2,../data/data_root/data00/10298.pt
2,../data/data_root/data00/10312.pt
2,../data/data_root/data00/10314.pt
2,../data/data_root/data00/10347.pt
2,../data/data_root/data00/10362.pt
2,../data/data_root/data00/10380.pt
2,../data/data_root/data00/10384.pt
2,../data/data_root/data00/10387.pt
2,../data/data_root/data00/10388.pt
2,../data/data_root/data00/10390.pt
2,../data/data_root/data00/10414.pt
2,../data/data_root/data00/10422.pt
2,../data/data_root/data00/10480.pt
2,../data/data_root/data00/10483.pt
2,../data/data_root/data00/10485.pt
2,../data/data_root/data00/10487.pt
2,../data/data_root/data00/10491.pt
2,../data/data_root/data00/10507.pt
2,../data/data_root/data00/10508.pt
2,../data/data_root/data00/10529.pt
2,../data/data_root/data00/10530.pt
2,../data/data_root/data00/10534.pt
2,../data/data_root/data00/10535.pt
2,../data/data_root/data00/10539.pt
2,../data/data_root/data00/10540.pt
2,../data/data_root/data00/10541.pt
2,../data/data_root/data00/10542.pt
2,../data/data_root/data00/10543.pt
2,../data/data_root/data00/10548.pt
2,../data/data_root/data00/10554.pt
2,../data/data_root/data00/10590.pt
2,../data/data_root/data00/10591.pt
2,../data/data_root/data00/10629.pt
2,../data/data_root/data00/10630.pt
2,../data/data_root/data00/10631.pt
2,../data/data_root/data00/10633.pt
2,../data/data_root/data00/10634.pt
2,../data/data_root/data00/10644.pt
2,../data/data_root/data00/10647.pt
2,../data/data_root/data00/10651.pt
2,../data/data_root/data00/10652.pt
2,../data/data_root/data00/10653.pt
2,../data/data_root/data00/10667.pt
2,../data/data_root/data00/1070.pt
2,../data/data_root/data00/10708.pt
2,../data/data_root/data00/10713.pt
2,../data/data_root/data00/10716.pt
2,../data/data_root/data00/10726.pt
2,../data/data_root/data00/10727.pt
2,../data/data_root/data00/10728.pt
2,../data/data_root/data00/10739.pt
2,../data/data_root/data00/10740.pt
2,../data/data_root/data00/10744.pt
2,../data/data_root/data00/10749.pt
2,../data/data_root/data00/10756.pt
2,../data/data_root/data00/10762.pt
2,../data/data_root/data00/10763.pt
2,../data/data_root/data00/10764.pt
2,../data/data_root/data00/10766.pt
2,../data/data_root/data00/10767.pt
2,../data/data_root/data00/10768.pt
2,../data/data_root/data00/10789.pt
2,../data/data_root/data00/10793.pt
2,../data/data_root/data00/1080.pt
2,../data/data_root/data00/10803.pt
2,../data/data_root/data00/10813.pt
2,../data/data_root/data00/10831.pt
2,../data/data_root/data00/10839.pt
2,../data/data_root/data00/10842.pt
2,../data/data_root/data00/10854.pt
2,../data/data_root/data00/10861.pt
2,../data/data_root/data00/10869.pt
2,../data/data_root/data00/10871.pt
2,../data/data_root/data00/10877.pt
2,../data/data_root/data00/10878.pt
2,../data/data_root/data00/10896.pt
2,../data/data_root/data00/10901.pt
2,../data/data_root/data00/10905.pt
2,../data/data_root/data00/10909.pt
2,../data/data_root/data00/10911.pt
2,../data/data_root/data00/10912.pt
2,../data/data_root/data00/10918.pt
2,../data/data_root/data00/10930.pt
2,../data/data_root/data00/10931.pt
2,../data/data_root/data00/10933.pt
2,../data/data_root/data00/10948.pt
2,../data/data_root/data00/10952.pt
2,../data/data_root/data00/10957.pt
2,../data/data_root/data00/10969.pt
2,../data/data_root/data00/10970.pt
2,../data/data_root/data00/10987.pt
2,../data/data_root/data00/10993.pt
2,../data/data_root/data00/10994.pt
2,../data/data_root/data00/11004.pt
2,../data/data_root/data00/11009.pt
2,../data/data_root/data00/11021.pt
2,../data/data_root/data00/11032.pt
2,../data/data_root/data00/11036.pt
2,../data/data_root/data00/11037.pt
2,../data/data_root/data00/11038.pt
2,../data/data_root/data00/11049.pt
2,../data/data_root/data00/11064.pt
2,../data/data_root/data00/11072.pt
2,../data/data_root/data00/11073.pt
2,../data/data_root/data00/11076.pt
2,../data/data_root/data00/11081.pt
2,../data/data_root/data00/11108.pt
2,../data/data_root/data00/11110.pt
2,../data/data_root/data00/11112.pt
2,../data/data_root/data00/11125.pt
