objectID,footprint,area,height,label,data,index
37,1622.0,4425.734265625,22.26,2,../data/data_root/data00/37.pt,37
57,1701.0,7579.9805,28.9,2,../data/data_root/data00/57.pt,57
63,1797.0,6737.488625,13.89,2,../data/data_root/data00/63.pt,63
66,1506.0,4806.633159375,15.9,2,../data/data_root/data00/66.pt,66
69,2047.0,7526.896228125,23.05,2,../data/data_root/data00/69.pt,69
75,920.0,6800.177246875,11.6,2,../data/data_root/data00/75.pt,75
76,1176.0,7553.5390875,18.68,2,../data/data_root/data00/76.pt,76
80,967.0,5727.3498,24.92,2,../data/data_root/data00/80.pt,80
81,1704.0,7572.83959375,20.11,2,../data/data_root/data00/81.pt,81
82,1719.0,7516.6589,19.86,2,../data/data_root/data00/82.pt,82
109,976.0,7504.795046875,13.07,2,../data/data_root/data00/109.pt,109
110,1443.0,8074.246475,23.39,2,../data/data_root/data00/110.pt,110
111,1538.0,7733.085609375,26.03,2,../data/data_root/data00/111.pt,111
117,1090.0,5137.199,17.19,2,../data/data_root/data00/117.pt,117
118,1017.0,1768.311340625,21.63,2,../data/data_root/data00/118.pt,118
131,1828.0,6050.770315625,14.29,2,../data/data_root/data00/131.pt,131
132,2005.0,6340.62386875,25.34,2,../data/data_root/data00/132.pt,132
145,1387.0,7557.4111875,23.2,2,../data/data_root/data00/145.pt,145
146,1836.0,4956.3489,20.94,2,../data/data_root/data00/146.pt,146
169,1472.0,7065.60435,18.19,2,../data/data_root/data00/169.pt,169
170,1438.0,6522.439909375,16.26,2,../data/data_root/data00/170.pt,170
177,1843.0,4258.953115625,14.96,2,../data/data_root/data00/177.pt,177
188,1839.0,6253.8161,22.61,2,../data/data_root/data00/188.pt,188
189,1300.0,5460.631,14.57,2,../data/data_root/data00/189.pt,189
194,1342.0,5596.775321875,13.97,2,../data/data_root/data00/194.pt,194
195,962.0,4156.634246875,13.71,2,../data/data_root/data00/195.pt,195
202,1764.0,4027.24755,16.11,2,../data/data_root/data00/202.pt,202
203,1502.0,2501.804440625,19.5,2,../data/data_root/data00/203.pt,203
204,1307.0,6508.308996875,13.42,2,../data/data_root/data00/204.pt,204
207,1469.0,3286.47035625,19.68,2,../data/data_root/data00/207.pt,207
215,2015.0,6379.40531875,17.1,2,../data/data_root/data00/215.pt,215
263,1347.0,7502.64705,13.51,2,../data/data_root/data00/263.pt,263
273,1271.0,7498.40315,21.42,2,../data/data_root/data00/273.pt,273
278,1277.0,5111.119446875,18.2,2,../data/data_root/data00/278.pt,278
308,1527.0,2654.38229375,23.37,2,../data/data_root/data00/308.pt,308
319,2679.0,7443.400909375,29.75,2,../data/data_root/data00/319.pt,319
320,1991.0,7464.217890625,28.89,2,../data/data_root/data00/320.pt,320
322,967.0,6471.645553125,13.57,2,../data/data_root/data00/322.pt,322
326,1350.0,6503.62763125,17.45,2,../data/data_root/data00/326.pt,326
327,1678.0,6401.745440625,15.59,2,../data/data_root/data00/327.pt,327
328,989.0,2787.842321875,16.82,2,../data/data_root/data00/328.pt,328
337,1669.0,5118.792909375,19.03,2,../data/data_root/data00/337.pt,337
339,1056.0,5822.890696875,13.07,2,../data/data_root/data00/339.pt,339
340,889.0,5621.03976875,13.53,2,../data/data_root/data00/340.pt,340
342,1942.0,6505.1166875,16.22,2,../data/data_root/data00/342.pt,342
350,945.0,1997.1856,17.15,2,../data/data_root/data00/350.pt,350
353,852.0,5847.552496875,14.98,2,../data/data_root/data00/353.pt,353
355,1388.0,6552.31043125,13.05,2,../data/data_root/data00/355.pt,355
364,1331.0,3661.53035625,13.34,2,../data/data_root/data00/364.pt,364
365,1415.0,5092.2153,14.48,2,../data/data_root/data00/365.pt,365
367,1594.0,6476.8315,25.01,2,../data/data_root/data00/367.pt,367
420,979.0,6769.24425,22.61,2,../data/data_root/data00/420.pt,420
421,1153.0,6715.5084,15.59,2,../data/data_root/data00/421.pt,421
427,1075.0,1865.52875625,15.93,2,../data/data_root/data00/427.pt,427
451,2183.0,6787.269134375,28.17,2,../data/data_root/data00/451.pt,451
455,1353.0,3650.4381125,23.23,2,../data/data_root/data00/455.pt,455
459,1238.0,6403.0526875,24.0,2,../data/data_root/data00/459.pt,459
474,1893.0,6500.5559,21.88,2,../data/data_root/data00/474.pt,474
