label,data
3,../data/data_root/data00/10004.pt
3,../data/data_root/data00/10029.pt
3,../data/data_root/data00/10046.pt
3,../data/data_root/data00/10062.pt
3,../data/data_root/data00/10066.pt
3,../data/data_root/data00/1007.pt
3,../data/data_root/data00/10078.pt
3,../data/data_root/data00/10086.pt
3,../data/data_root/data00/10090.pt
3,../data/data_root/data00/10095.pt
3,../data/data_root/data00/10117.pt
3,../data/data_root/data00/10131.pt
3,../data/data_root/data00/10133.pt
3,../data/data_root/data00/10137.pt
3,../data/data_root/data00/10145.pt
3,../data/data_root/data00/10148.pt
3,../data/data_root/data00/10156.pt
3,../data/data_root/data00/10190.pt
3,../data/data_root/data00/10191.pt
3,../data/data_root/data00/10210.pt
3,../data/data_root/data00/10223.pt
3,../data/data_root/data00/10232.pt
3,../data/data_root/data00/10238.pt
3,../data/data_root/data00/10259.pt
3,../data/data_root/data00/10281.pt
3,../data/data_root/data00/10291.pt
3,../data/data_root/data00/10296.pt
3,../data/data_root/data00/10304.pt
3,../data/data_root/data00/10320.pt
3,../data/data_root/data00/10335.pt
3,../data/data_root/data00/10336.pt
3,../data/data_root/data00/10339.pt
3,../data/data_root/data00/10344.pt
3,../data/data_root/data00/1036.pt
3,../data/data_root/data00/10373.pt
3,../data/data_root/data00/10378.pt
3,../data/data_root/data00/10381.pt
3,../data/data_root/data00/10382.pt
3,../data/data_root/data00/10383.pt
3,../data/data_root/data00/10386.pt
3,../data/data_root/data00/10389.pt
3,../data/data_root/data00/1039.pt
3,../data/data_root/data00/10398.pt
3,../data/data_root/data00/10416.pt
3,../data/data_root/data00/10425.pt
3,../data/data_root/data00/10426.pt
3,../data/data_root/data00/10428.pt
3,../data/data_root/data00/10430.pt
3,../data/data_root/data00/10439.pt
3,../data/data_root/data00/10444.pt
3,../data/data_root/data00/1045.pt
3,../data/data_root/data00/10462.pt
3,../data/data_root/data00/10469.pt
3,../data/data_root/data00/10471.pt
3,../data/data_root/data00/1048.pt
3,../data/data_root/data00/10501.pt
3,../data/data_root/data00/10512.pt
3,../data/data_root/data00/10518.pt
3,../data/data_root/data00/10526.pt
3,../data/data_root/data00/10528.pt
3,../data/data_root/data00/1053.pt
3,../data/data_root/data00/10533.pt
3,../data/data_root/data00/10568.pt
3,../data/data_root/data00/10570.pt
3,../data/data_root/data00/10574.pt
3,../data/data_root/data00/10587.pt
3,../data/data_root/data00/1060.pt
3,../data/data_root/data00/10613.pt
3,../data/data_root/data00/10622.pt
