label,data
3,../data/floorplan_crop/13.pt
3,../data/floorplan_crop/18.pt
3,../data/floorplan_crop/24.pt
3,../data/floorplan_crop/48.pt
3,../data/floorplan_crop/107.pt
3,../data/floorplan_crop/110.pt
3,../data/floorplan_crop/126.pt
3,../data/floorplan_crop/130.pt
3,../data/floorplan_crop/199.pt
3,../data/floorplan_crop/223.pt
3,../data/floorplan_crop/225.pt
3,../data/floorplan_crop/229.pt
3,../data/floorplan_crop/230.pt
3,../data/floorplan_crop/261.pt
3,../data/floorplan_crop/266.pt
3,../data/floorplan_crop/292.pt
3,../data/floorplan_crop/299.pt
3,../data/floorplan_crop/315.pt
3,../data/floorplan_crop/320.pt
3,../data/floorplan_crop/329.pt
3,../data/floorplan_crop/383.pt
3,../data/floorplan_crop/390.pt
3,../data/floorplan_crop/392.pt
3,../data/floorplan_crop/400.pt
3,../data/floorplan_crop/403.pt
3,../data/floorplan_crop/406.pt
3,../data/floorplan_crop/417.pt
3,../data/floorplan_crop/419.pt
3,../data/floorplan_crop/429.pt
3,../data/floorplan_crop/528.pt
3,../data/floorplan_crop/559.pt
3,../data/floorplan_crop/569.pt
3,../data/floorplan_crop/671.pt
3,../data/floorplan_crop/677.pt
3,../data/floorplan_crop/678.pt
3,../data/floorplan_crop/838.pt
3,../data/floorplan_crop/925.pt
3,../data/floorplan_crop/938.pt
3,../data/floorplan_crop/1039.pt
3,../data/floorplan_crop/1040.pt
3,../data/floorplan_crop/1041.pt
3,../data/floorplan_crop/1044.pt
3,../data/floorplan_crop/1045.pt
3,../data/floorplan_crop/1075.pt
3,../data/floorplan_crop/1078.pt
3,../data/floorplan_crop/1079.pt
3,../data/floorplan_crop/1084.pt
3,../data/floorplan_crop/1100.pt
3,../data/floorplan_crop/1111.pt
3,../data/floorplan_crop/1117.pt
3,../data/floorplan_crop/1121.pt
3,../data/floorplan_crop/1122.pt
3,../data/floorplan_crop/1136.pt
3,../data/floorplan_crop/1203.pt
3,../data/floorplan_crop/1209.pt
3,../data/floorplan_crop/1211.pt
3,../data/floorplan_crop/1217.pt
3,../data/floorplan_crop/1218.pt
3,../data/floorplan_crop/1220.pt
3,../data/floorplan_crop/1225.pt
3,../data/floorplan_crop/1227.pt
3,../data/floorplan_crop/1229.pt
3,../data/floorplan_crop/1259.pt
3,../data/floorplan_crop/1285.pt
3,../data/floorplan_crop/1289.pt
3,../data/floorplan_crop/1297.pt
3,../data/floorplan_crop/1329.pt
3,../data/floorplan_crop/1374.pt
3,../data/floorplan_crop/1391.pt
3,../data/floorplan_crop/1434.pt
3,../data/floorplan_crop/1461.pt
3,../data/floorplan_crop/1485.pt
3,../data/floorplan_crop/1502.pt
3,../data/floorplan_crop/1541.pt
3,../data/floorplan_crop/1554.pt
3,../data/floorplan_crop/1594.pt
3,../data/floorplan_crop/1671.pt
3,../data/floorplan_crop/1673.pt
3,../data/floorplan_crop/1784.pt
3,../data/floorplan_crop/1789.pt
3,../data/floorplan_crop/1800.pt
3,../data/floorplan_crop/1803.pt
3,../data/floorplan_crop/1804.pt
3,../data/floorplan_crop/1897.pt
3,../data/floorplan_crop/1945.pt
3,../data/floorplan_crop/1947.pt
3,../data/floorplan_crop/1950.pt
3,../data/floorplan_crop/1951.pt
3,../data/floorplan_crop/1965.pt
3,../data/floorplan_crop/2037.pt
3,../data/floorplan_crop/2065.pt
3,../data/floorplan_crop/2088.pt
3,../data/floorplan_crop/2105.pt
3,../data/floorplan_crop/2136.pt
3,../data/floorplan_crop/2266.pt
3,../data/floorplan_crop/2310.pt
3,../data/floorplan_crop/2330.pt
3,../data/floorplan_crop/2347.pt
3,../data/floorplan_crop/2349.pt
3,../data/floorplan_crop/2397.pt
3,../data/floorplan_crop/2404.pt
3,../data/floorplan_crop/2405.pt
3,../data/floorplan_crop/2412.pt
3,../data/floorplan_crop/2415.pt
3,../data/floorplan_crop/2440.pt
3,../data/floorplan_crop/2447.pt
3,../data/floorplan_crop/2601.pt
3,../data/floorplan_crop/2634.pt
3,../data/floorplan_crop/2740.pt
